Index,Citation
11,"Snehasis Sahoo and Cheng-Yao Lo,  “Smart manufacturing powered by recent technological advancements: A review,”  Journal of Manufacturing Systems, vol. 64, pp. 236–250, 2022.  doi: 10.1016/j.jmsy.2022.06.008  [URL](https://doi.org/10.1016/j.jmsy.2022.06.008)"
12,"Fei Tao, Qinglin Qi, Ang Liu, and Andrew Kusiak,  “Data-driven smart manufacturing,”  Journal of Manufacturing Systems, vol. 48, pp. 157–169, 2018.  doi: 10.1016/j.jmsy.2018.01.006  [URL](https://doi.org/10.1016/j.jmsy.2018.01.006)"
13,"Z. Qin and Y. Lu, ""Knowledge graph-enhanced multi-agent reinforcement learning for adaptive scheduling in smart manufacturing,"" Journal of Intelligent Manufacturing, 2024. Published: 13 October 2024.  doi: 10.1007/s10845-024-02494-0.  Available: https://link.springer.com/article/10.1007/s10845-024-02494-0"
14,"X. Jing, X. Yao, M. Liu, and J. Zhou, ""Multi-agent reinforcement learning based on graph convolutional network for flexible job shop scheduling,"" Journal of Intelligent Manufacturing, vol. 35, pp. 75–93, 2024. Published: 12 October 2022.  doi: 10.1007/s10845-022-02037-5.  Available: https://link.springer.com/article/10.1007/s10845-022-02037-5"
15,"J. Sun, Z. Liu, C. Qiu, J. Luo, L. He, H. Liu, G. Sa, Z. Jiang, and J. Tan, ""Machining accuracy prediction and adaptive compensation method of CNC machine tool under absence of machining process sensing,"" Journal of Intelligent Manufacturing, 2024. Published: 13 June 2024.  doi: 10.1007/s10845-024-02403-5.  Available: https://link.springer.com/article/10.1007/s10845-024-02403-5"
16,"Y. J. Qu, X. G. Ming, Z. W. Liu, X. Y. Zhang, and Z. T. Hou, ""Smart manufacturing systems: state of the art and future trends,"" The International Journal of Advanced Manufacturing Technology, vol. 103, no. 9–12, pp. 3751–3768, 2019. [Online]. Available: https://doi.org/10.1007/s00170-019-03754-7"
17,"J.-S. Jwo, C.-S. Lin, and C.-H. Lee, ""Smart technology–driven aspects for human-in-the-loop smart manufacturing,"" The International Journal of Advanced Manufacturing Technology, vol. 114, pp. 1741–1752, 2021. [Online]. Available: https://doi.org/10.1007/s00170-021-06977-9"
18,"R. A. Rojas and E. Rauch, ""From a literature review to a conceptual framework of enablers for smart manufacturing control,"" The International Journal of Advanced Manufacturing Technology, vol. 104, pp. 517–533, 2019. [Online]. Available: https://doi.org/10.1007/s00170-019-03854-4"
19,"S. Roy, I. Ahmed, J. Saldanha, K. Medini, and T. Wuest, ""Bottleneck Management through Strategic Sequencing in Smart Manufacturing Systems,"" Smart and Sustainable Manufacturing Systems, vol. 8, no. 1, pp. 1–26, 2024. [Online]. Available: https://doi.org/10.1520/ssms20230036"
20,"M. Sato, V. W. H. Wong, H. Yeung, P. Witherell, and K. H. Law, ""Identification and Interpretation of Melt Pool Shapes in Laser Powder Bed Fusion with Machine Learning,"" Smart and Sustainable Manufacturing Systems, vol. 8, no. 1, pp. 27–47, 2024. [Online]. Available: https://doi.org/10.1520/ssms20230035"
21,"T. Wuest, ""Hybrid Analytics in Smart Manufacturing Systems—Addressing the Manufacturing Data Challenge,"" Smart and Sustainable Manufacturing Systems, vol. 8, no. 1, pp. 48–66, 2024. [Online]. Available: https://doi.org/10.1520/ssms20230015"
22,"Mohammadhossein Ghahramani, ""Data-driven Predictive Analysis for Smart Manufacturing Processes Based on a Decomposition Approach,"" TechRxiv, July 28, 2021. doi: 10.36227/techrxiv.15045426.v1. [Online]. Available: https://www.techrxiv.org/users/680517/articles/677184-data-driven-predictive-analysis-for-smart-manufacturing-processes-based-on-a-decomposition-approach"
23,"Yu Nong, ""Digital Twins Integrating AI, AR, VR, and Robotics: A Case Study of Smart Manufacturing Transformation,"" Engineering: Open Access, vol. 3, no. 3, pp. 01–08, Mar. 2025. doi: 10.33140/EOA.3.3.1. [Online]. Available: https://www.opastpublishers.com/open-access-articles/digital-twins-integrating-ai-ar-vr-and-robotics-a-case-study-of-smart-manufacturing-transformation-8936.html"
24,"X. Xu, Y. Lu, B. Vogel-Heuser, and L. Wang, ""Industry 4.0 and Industry 5.0—Inception, conception and perception,"" Journal of Manufacturing Systems, vol. 61, pp. 530-535, 2021. [Online]. Available: https://doi.org/10.1016/j.jmsy.2021.10.006"
25,"M. Ghobakhloo, ""Industry 4.0, digitization, and opportunities for sustainability,"" Journal of Cleaner Production, vol. 252, p. 119869, 2020. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0959652619347390"
26,"M. Beltrami, G. Orzes, J. Sarkis, and M. Sartor, ""Industry 4.0 and sustainability: Towards conceptualization and theory,"" Journal of Cleaner Production, vol. 312, p. 127733, 2021. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S095965262101951X"
27,"F. J. Garzón‐García, M. Álvarez‐Montero, J. A. Márquez‐García, and Á. Troncoso‐Pastoriza, ""Main Trend Topics on Industry 4.0 in the Manufacturing Sector,"" Applied Sciences, vol. 14, no. 15, p. 6450, 2024. [Online]. Available: https://www.mdpi.com/2076-3417/14/15/6450"
28,"J. Ni, G. Wang, T. Zhou, and L. Liu, ""Smart Manufacturing and Industry 4.0,"" Applied Sciences, vol. 13, no. 3, p. 1545, 2023. [Online]. Available: https://www.mdpi.com/2076-3417/13/3/1545"
29,"F. Ludbrook, K. Frajtova Michalikova, Z. Musova, and P. Suler, “Business Models for Sustainable Innovation in Industry 4.0: Smart Manufacturing Processes, Digitalization of Production Systems, and Data-driven Decision Making,” Journal of Self-Governance and Management Economics, vol. 7, no. 3, pp. 21–26, 2019, doi:10.22381/JSME7320193. [Online]. Available: https://www.addletonacademicpublishers.com/contents-jsme/1715-volume-7-3-2019/3608-business-models-for-sustainable-innovation-in-industry-4-0-smart-manufacturing-processes-digitalization-of-production-systems-and-data-driven-decision-making"
30,"C. Tuffnell, P. Kral, P. Durana, and T. Krulicky, “Industry 4.0-based Manufacturing Systems: Smart Production, Sustainable Supply Chain Networks, and Real-Time Process Monitoring,” Journal of Self-Governance and Management Economics, vol. 7, no. 2, pp. 7–12, 2019, doi:10.22381/JSME7220191. [Online]. Available: https://www.addletonacademicpublishers.com/contents-jsme/1647-volume-7-2-2019/3541-industry-4-0-based-manufacturing-systems-smart-production-sustainable-supply-chain-networks-and-real-time-process-monitoring"
31,"K. Wade and M. Vochozka, “Artificial Intelligence Data-driven Internet of Things Systems, Sustainable Industry 4.0 Wireless Networks, and Digitized Mass Production in Cyber-Physical Smart Manufacturing,” Journal of Self-Governance and Management Economics, vol. 9, no. 3, pp. 48–60, 2021, doi:10.22381/jsme9320214. [Online]. Available: https://www.addletonacademicpublishers.com/contents-jsme/2230-volume-9-3-2021/4064-artificial-intelligence-data-driven-internet-of-things-systems-sustainable-industry-4-0-wireless-networks-and-digitized-mass-production-in-cyber-physical-smart-manufacturing"
32,"Md Ismail Hossain, Kakoli Khatun, and Imtiaz Ahmed, ""Cyber Intrusion detection in Industry 4.0 Data using Machine Learning,"" TechRxiv Preprint, 2020. [Online]. Available: https://www.techrxiv.org/doi/full/10.36227/techrxiv.24646194"
33,"Diana Teresa Parra-Sánchez, ""Exploring the Internet of Things adoption in the Fourth Industrial Revolution: a comprehensive scientometric analysis,"" Journal of Innovative Digital Transformation, vol. 2, no. 1, pp. 1-18, 2025. [Online]. Available: https://doi.org/10.1108/JIDT-06-2024-0013"
34,"Edwin Omol, Paul Abuonji, and Lucy Mburu, ""SMEs’ digital maturity: analyzing influencing factors and the mediating role of environmental factors,"" Journal of Innovative Digital Transformation, vol. 2, no. 1, pp. 19-36, 2025. [Online]. Available: https://doi.org/10.1108/JIDT-01-2024-0002"
35,"Cagatay Catal, Gorkem Kar, and Murat Zarali, ""Strategic technological innovation investment: enhancing resilience in the age of digital transformation,"" Journal of Innovative Digital Transformation, vol. 2, no. 1, pp. 50-72, 2025. [Online]. Available: https://doi.org/10.1108/JIDT-05-2024-0010"
36,"Ming-Hsiung Hsiao, “Resource integration and firm performance through organizational capabilities for digital transformation,” Digital Transformation and Society, vol. ahead-of-print, no. ahead-of-print, 2024. [Online]. Available: https://doi.org/10.1108/DTS-07-2023-0050"
37,"K. Mavitha and S. Kushe Shekhar, “Mapping the landscape of digital transformation and digital technologies in the hotel industry: a comprehensive bibliometric analysis,” Digital Transformation and Society, vol. ahead-of-print, no. ahead-of-print, 2025. [Online]. Available: https://doi.org/10.1108/DTS-09-2024-0178"
38,"Edwin Juma Omol, “Organizational digital transformation: from evolution to future trends,” Digital Transformation and Society, vol. 3, no. 3, pp. 240-256, 2024. [Online]. Available: https://doi.org/10.1108/DTS-08-2023-0061"
39,"D. S. Stamoulis and E. Kopanaki, ""Digital Transformation in Banking: an Explanation Framework and a Progress Assessment Tool,"" International Journal of Digital Transformation, in press. [Online]. Available: https://www.inderscience.com/info/ingeneral/forthcoming.php?jcode=ijdt. DOI: 10.1504/IJDT.2023.10064348"
40,"P. C. Verhoef, N. Kooge, P. Walk, et al., ""Digital transformation: A multidisciplinary reflection and research agenda,"" Journal of Business Research, vol. 122, pp. 889–901, Jan. 2021. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0148296320304563"
41,"G. Jonathan, et al., ""Digital transformation in business and management research: An overview and research agenda,"" International Journal of Information Management, vol. 58, p. 102378, Apr. 2021. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0268401221001596"
42,"A. Jaya Lakshmi, A. Kumar, M. S. Kumar, S. I. Patel, S. K. L. Naik, and J. V. N. Ramesh, ""Artificial intelligence in steering the digital transformation of collaborative technical education,"" The Journal of High Technology Management Research, vol. 34, 2023, Article 100517. [Online]. Available: https://doi.org/10.1016/j.hitech.2023.100517"
43,"C. O. Turcu and C. Turcu, ""Accelerating Digital Transformation in Higher Education with Robotic Process Automation,"" TechRxiv, Apr. 2023. [Online]. Available: https://www.techrxiv.org/users/690018/articles/681445-accelerating-digital-transformation-in-higher-education-with-robotic-process-automation"
44,"B. Meyers, H. Vangheluwe, and K. Gadeyne, ""Towards a knowledge graph framework for ad hoc analysis in manufacturing,"" Journal of Intelligent Manufacturing, vol. 35, no. 8, pp. 3731–3752, Feb. 2024. [Online]. Available: https://link.springer.com/article/10.1007/s10845-023-02343-x"
45,"L. Kaven, P. Huke, and R. H. Schmitt, ""Multi agent reinforcement learning for online layout planning and scheduling in flexible assembly systems,"" Journal of Intelligent Manufacturing, vol. 35, no. 8, pp. 3917–3936, Jan. 2024. [Online]. Available: https://link.springer.com/article/10.1007/s10845-023-02393-1"
46,"C. Gkournelos, C. Konstantinou, and S. Makris, ""Praxis: a framework for AI-driven human action recognition in assembly,"" Journal of Intelligent Manufacturing, vol. 35, no. 8, pp. 3697–3711, Nov. 2023. [Online]. Available: https://link.springer.com/article/10.1007/s10845-023-02355-7"
47,"J. Flores, I. Cabanes, A. Gutierrez, K. Lopez de Calle, O. Gonzalo, and E. Portillo, ""An innovative smart monitoring system for DED-LB/MW process stability based on machine learning techniques,"" International Journal of Advanced Manufacturing Technology, vol. 137, pp. 1759–1773, 2025. [Online]. Available: https://doi.org/10.1007/s00170-025-15134-5"
48,"T.-Y. Wu and C.-Y. Lin, ""Surface profile estimation in milling through vibration analysis and long short-term memory networks,"" International Journal of Advanced Manufacturing Technology, vol. 137, pp. 2047–2060, 2025. [Online]. Available: https://doi.org/10.1007/s00170-025-15291-7"
49,"O. Reffas, H. Boumediri, Y. Karmi, M. S. Kahaleras, I. Bousba, and L. Aissa, ""Statistical analysis and predictive modeling of cutting parameters in EN-GJL-250 cast iron turning: application of machine learning and MOALO optimization,"" International Journal of Advanced Manufacturing Technology, vol. 137, pp. 1991–2009, 2025. [Online]. Available: https://doi.org/10.1007/s00170-025-15098-6"
50,"S. Fahle, N. Götze, G. Lanza, S. Voss, and P. Nyhuis, ""Systematic review on machine learning (ML) methods for manufacturing processes – Identifying artificial intelligence (AI) methods for process innovation,"" Journal of Manufacturing Processes, vol. 53, pp. 386–401, 2020. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S1526612520307435"
51,"M. Ahsan, M. A. Habib, and B. Khoda, ""Resource based process planning for additive manufacturing,"" Journal of Manufacturing Processes, vol. 38, pp. 76–87, 2019. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S1526612519303206"
52,"T. Wuest, D. Weimer, C. Irgens, and K.-D. Thoben, ""Machine learning in manufacturing: advantages, challenges, and applications,"" Production & Manufacturing Research, vol. 4, no. 1, pp. 23-45, 2016. [Online]. Available: https://doi.org/10.1080/21693277.2016.1192517"
53,"B. Ördek, N. Dogan, and M. Coatanea, ""Machine learning-supported manufacturing: a review and directions for future research,"" Production & Manufacturing Research, vol. 12, no. 1, pp. 1-36, 2024. [Online]. Available: https://doi.org/10.1080/21693277.2024.2326526"
54,"J. Wan, X. Li, H.-N. Dai, A. Kusiak, M. Martínez-García, and D. Li, ""Artificial Intelligence-Driven Customized Manufacturing Factory: Key Technologies, Applications, and Challenges,"" Proceedings of the IEEE, 2021. [Online]. Available: https://arxiv.org/abs/2108.03383"
55,"M. Ghahramani, Y. Qiao, M. Zhou, A. OHagan, and J. Sweeney, ""AI-based Modeling and Data-driven Evaluation for Smart Manufacturing Processes,"" IEEE/CAA Journal of Automatica Sinica (to appear), 13 pages, Aug. 2020. [Online]. Available: https://arxiv.org/abs/2008.12987"
56,"V. Petrone, E. Ferrentino, and P. Chiacchio, ""On the role of Artificial Intelligence methods in modern force-controlled manufacturing robotic tasks,"" in Proceedings of the 21st International Conference on Informatics in Control, Automation and Robotics – Volume 1: ICINCO, pp. 392-399, Porto, Portugal, 2024. [Online]. Available: https://arxiv.org/abs/2409.16828"
57,"H. Yu, D. Yu, C. Wang, Y. Hu, and Y. Li, ""Edge intelligence-driven digital twin of CNC system: Architecture and deployment,"" Robotics and Computer-Integrated Manufacturing, vol. 79, Art. no. 102418, 2023. [Online]. Available: https://dblp.org/rec/journals/rcim/YuYWHL23"
58,"L. Lu, J. Hou, S. Yuan, X. Yao, Y. Li, and J. Zhu, ""Deep learning-assisted real-time defect detection and closed-loop adjustment for additive manufacturing of continuous fiber-reinforced polymer composites,"" Robotics and Computer-Integrated Manufacturing, vol. 79, Art. no. 102431, 2023. [Online]. Available: https://dblp.org/rec/journals/rcim/LuHYYLZ23"
59,"Y. Li, Z. Tao, L. Wang, B. Du, J. Guo, and S. Pang, ""Digital twin-based job shop anomaly detection and dynamic scheduling,"" Robotics and Computer-Integrated Manufacturing, vol. 79, Art. no. 102443, 2023. [Online]. Available: https://dblp.org/rec/journals/rcim/LiTWDGP23"
60,"V. Naga Malleswari and P. G. Pragvamsa, ""Automatic machining feature recognition from STEP files,"" International Journal of Computer Integrated Manufacturing, vol. 36, no. 6, pp. 863–877, 2023. [Online]. Available: https://doi.org/10.1080/0951192X.2022.2162590"
61,"Z. Ayağ, ""An approach to evaluate CAM software alternatives,"" International Journal of Computer Integrated Manufacturing, vol. 33, no. 5, pp. 504–514, 2020. [Online]. Available: https://doi.org/10.1080/0951192X.2020.1757156"
62,"J. Pedro Madureira Pinto, R. D. S. Gomes, and F. J. Gomes da Silva,  ""Automating the manufacturing process of control cables for the automotive components industry,""  The International Journal of Advanced Manufacturing Technology, vol. 135, no. 11-12, pp. 5533–5551, Nov. 2024.  [https://link.springer.com/article/10.1007/s00170-023-12675-2](https://link.springer.com/article/10.1007/s00170-023-12675-2)"
63,"P. Eichenseer and H. Winkler,  ""A data-oriented shopfloor management in the production context: a systematic literature review,""  The International Journal of Advanced Manufacturing Technology, vol. 134, no. 9-10, pp. 4071–4097, Sep. 2024.  [https://link.springer.com/article/10.1007/s00170-024-12245-x](https://link.springer.com/article/10.1007/s00170-024-12245-x)"
64,"J. Coble, M. Alberts, and J. Karandikar,  ""A data-driven framework for predicting machining stability: employing simulated data, operational modal analysis, and enhanced transfer learning,""  The International Journal of Advanced Manufacturing Technology, vol. 135, no. 11-12, pp. 5843–5859, Dec. 2024.  [https://link.springer.com/article/10.1007/s00170-023-12693-0](https://link.springer.com/article/10.1007/s00170-023-12693-0)"
65,"A. Sebeesh, A. Rasheed, E. Skaria, and A. Joy, ""Development and Fabrication of Capsees,"" International Journal of Computer Aided Manufacturing, vol. 9, no. 2, pp. 25–33, 2023. [Online]. Available: https://mechanical.journalspub.info/index.php?journal=JCAM&page=article&op=view&path[]=1897"
66,"S. Borawake, M. V. Khasne, S. Bhalerao, and A. Dhamale, ""School Management System,"" International Journal of Computer Aided Manufacturing, vol. 9, no. 2, pp. 1–8, 2023. [Online]. Available: https://mechanical.journalspub.info/index.php?journal=JCAM&page=article&op=view&path[]=1919"
67,"D. Mourtzis, S. Makris, and G. Chryssolouris, “Computer-Aided Manufacturing,” in CIRP Encyclopedia of Production Engineering, Springer, Berlin, Heidelberg, 2018, pp. 1–13. [Online]. Available: https://link.springer.com/doi/10.1007/978-3-642-35950-7_6550-4"
68,"D. A. Kurasov, “Computer-aided manufacturing: Industry 4.0,” IOP Conference Series: Materials Science and Engineering, vol. 1047, no. 1, p. 012153, 2021. [Online]. Available: https://iopscience.iop.org/article/10.1088/1757-899X/1047/1/012153"
69,"K. Torabi, E. Farjood, and S. Hamedani, “Rapid Prototyping Technologies and their Applications in Prosthodontics, a Review of Literature,” J Dent (Shiraz), vol. 16, no. 1, pp. 1–9, Mar. 2015. [Online]. Available: https://pubmed.ncbi.nlm.nih.gov/25759851/"
70,"K. S. Exarchos, C. Mitsos, and P. I. Barton, “Global Optimization of Phase Stability and Phase Equilibrium Problems in Process Systems Engineering,” SIAM Journal on Optimization, vol. 26, no. 4, pp. 2457–2479, 2016. [Online]. Available: https://epubs.siam.org/doi/10.1137/15M1027724"
71,"A. M. Schweidtmann and A. Mitsos, ""Deterministic Global Optimization with Artificial Neural Networks Embedded,"" Journal of Optimization Theory and Applications, vol. 180, no. 3, pp. 925–948, Mar. 2019. [Online]. Available: https://link.springer.com/article/10.1007/s10957-018-1396-0"
72,"M. A. Abooshahab, M. Ekramian, and A. Ebrahimpour-Boroojeny, ""Time-Delay Estimation in State and Output Equations of Nonlinear Systems Using Optimal Computational Approach,"" Journal of Optimization Theory and Applications, vol. 180, no. 3, pp. 1036–1064, Mar. 2019. [Online]. Available: https://link.springer.com/article/10.1007/s10957-018-1410-6"
73,"H. Luo, X. Bai, and J. Peng, ""Enhancing Semidefinite Relaxation for Quadratically Constrained Quadratic Programming via Penalty Methods,"" Journal of Optimization Theory and Applications, vol. 180, no. 3, pp. 964–992, Mar. 2019. [Online]. Available: https://link.springer.com/article/10.1007/s10957-018-1416-0"
74,"S. Shahriari, D. Iranshahi, and A. Nikzad, ""Optimization of a Novel Configuration for an Autothermal Reformer to Produce Hydrogen from Natural Gas,"" Process Integration and Optimization for Sustainability, vol. 9, no. 1, pp. 75–91, 2025. [Online]. Available: https://link.springer.com/article/10.1007/s41660-024-00411-9"
75,"O. Rezaei, R. Sahraeian, and S. M. H. Hosseini, ""A Multi-Objective Optimization Framework to Design the Closed-Loop Supply Chain Network Using Machine Learning for Demand Prediction,"" Process Integration and Optimization for Sustainability, vol. 9, 2025. [Online]. Available: https://link.springer.com/article/10.1007/s41660-024-00418-2"
76,"Giacomo Nannicini, ""On the implementation of a global optimization method for mixed-variable problems,"" Open Journal of Mathematical Optimization, vol. 2, pp. 1–25, 2021. [Online]. Available: https://ojmo.centre-mersenne.org/articles/10.5802/ojmo.3/ doi:10.5802/ojmo.3"
77,"Hamed Rahimian and Sanjay Mehrotra, ""Frameworks and Results in Distributionally Robust Optimization,"" Open Journal of Mathematical Optimization, vol. 3, pp. 1–85, 2022. [Online]. Available: https://ojmo.centre-mersenne.org/articles/10.5802/ojmo.15/ doi:10.5802/ojmo.15"
78,"Welington de Oliveira, ""Short Paper - A note on the Frank–Wolfe algorithm for a class of nonconvex and nonsmooth optimization problems,"" Open Journal of Mathematical Optimization, vol. 4, pp. 1–10, 2023. [Online]. Available: https://ojmo.centre-mersenne.org/articles/10.5802/ojmo.21/ doi:10.5802/ojmo.21"
79,"M. Christensen, L. P. E. Yunker, F. Adedeji, F. Häse, L. M. Roch, T. Gensch, G. dos Passos Gomes, T. Zepel, M. S. Sigman, A. Aspuru-Guzik, and J. E. Hein,  ""Data-science driven autonomous process optimization,"" Communications Chemistry, vol. 4, article 112, 2021.  Available: https://www.nature.com/articles/s42004-021-00550-x"
80,"J. Ouyang and J. Fu, ""Optimal strategies of improving energy efficiency for an energy-intensive manufacturer considering consumer environmental awareness,"" International Journal of Production Research, vol. 58, no. 4, pp. 1017–1033, 2020. [Online]. Available: https://doi.org/10.1080/00207543.2019.1620360"
81,"M. Kovács, ""Combination of Lean value-oriented conception and facility layout design for even more significant efficiency improvement and cost reduction,"" International Journal of Production Research, vol. 58, no. 10, pp. 2916–2936, 2020. [Online]. Available: https://doi.org/10.1080/00207543.2019.1630778"
82,"A. Dolgui, G. Levin, and B. Rozin, ""Optimisation of the aggregation and execution rates for intersecting operation sets: an example of machining process design,"" International Journal of Production Research, vol. 58, no. 9, pp. 2658–2676, 2020. [Online]. Available: https://doi.org/10.1080/00207543.2019.1627311"
83,"Y. Xiong, H. K. S. Lam, and S. Karimi, ""The effect of virtual reality-enabled manufacturing practices on production efficiency,"" International Journal of Production Economics, vol. 274, Article 109288, 2024. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S0925527324001452"
84,"A. Belhadi, S. S. Kamble, M. Venkatesh, C. J. C. Jabbour, and I. Benkhati, ""Building supply chain resilience and efficiency through additive manufacturing: An ambidextrous perspective on the dynamic capability view,"" International Journal of Production Economics, vol. 249, Article 108516, 2022. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0925527322000512"
85,"F. Ye, Y. Ouyang, and Y. Li, ""Digital investment and environmental performance: The mediating roles of production efficiency and green innovation,"" International Journal of Production Economics, vol. 259, Article 108822, 2023. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0925527323000543"
86,"V. Zelenyuk, ""Productivity analysis: roots, foundations, trends and perspectives,"" Journal of Productivity Analysis, vol. 60, no. 3, pp. 229–247, Dec. 2023. [Online]. Available: https://doi.org/10.1007/s11123-023-00692-1"
87,"L. Simar, V. Zelenyuk, and S. Zhao, ""Further improvements of finite sample approximation of central limit theorems for envelopment estimators,"" Journal of Productivity Analysis, vol. 59, no. 2, pp. 189–194, Apr. 2023. [Online]. Available: https://doi.org/10.1007/s11123-023-00661-8"
88,"S. Emili and F. Galli, ""Spatial and cross-sectoral input spillover effects: the case of the Italian tourism industry,"" Journal of Productivity Analysis, vol. 59, no. 2, pp. 243–258, June 2023. [Online]. Available: https://doi.org/10.1007/s11123-023-00665-4"
89,"S. Jiwangkura, P. Sophatsathit, and A. Chandrachai, ""Industrial Internet of Things Implementation Strategies with HCI for SME Adoption,"" International Journal of Automation and Smart Technology, vol. 10, no. 1, pp. 153–168, Jun. 2020. [Online]. Available: https://www.jausmt.org/index.php/jausmt/issue/view/5"
90,"Yuqian Lu, Juvenal Sastre Adrados, Saahil Shivneel Chand, and Lihui Wang, ""Humans are Not Machines—Anthropocentric Human–Machine Symbiosis for Ultra-Flexible Smart Manufacturing,"" Engineering, vol. 7, no. 6, pp. 734–737, 2021. doi: 10.1016/j.eng.2020.09.018. [Online]. Available: https://www.engineering.org.cn/EN/10.1016/j.eng.2020.09.018"
91,"M. Liu, S. Fang, H. Dong, and C. Xu, ""Review of digital twin about concepts, technologies, and industrial applications,"" Journal of Manufacturing Systems, vol. 58, pp. 346-361, 2021. [Online]. Available: https://doi.org/10.1016/j.jmsy.2020.06.017"
92,"A. B. Morales-Menendez and A. I. Cortés-Robles, ""The Future of Manufacturing and Industry 4.0,"" Applied Sciences, vol. 15, no. 9, p. 4655, 2025. [Online]. Available: https://www.mdpi.com/2076-3417/15/9/4655"
93,"M. S. Islam, S. S. Ahmed, W. Alasmary, M. A. Rahman, K. Salah, and F. Li, ""SSI meets Metaverse for Industry 4.0 and Beyond,"" TechRxiv Preprint, 2022. [Online]. Available: https://www.techrxiv.org/users/683788/articles/679058/master/file/data/SSI_meets_Metaverse_for_Industry_4_0_and_Beyond-3/SSI_meets_Metaverse_for_Industry_4_0_and_Beyond-3.pdf"
94,"A. M. M. S. Ullah, K. Amanullah, M. C. Alam, and M. Shahjalal, ""What is Knowledge in Industry 4.0?"" TechRxiv Preprint, 2020. [Online]. Available: https://www.techrxiv.org/users/293649/articles/421708-what-is-knowledge-in-industry-4-0"
95,"E. Ö. Alakaş, ""Digital transformational leadership and organizational agility in digital transformation: Structural equation modelling of the moderating effects of digital culture and digital strategy,"" The Journal of High Technology Management Research, vol. 35, no. 2, Article 100517, Nov. 2024. [Online]. Available: https://doi.org/10.1016/j.hitech.2024.100517"
