Index,Citation
25,"Guliuxin Jin, D. O. Oriekhov, Lukas Johannes Splitthoff, and Eliska Greplova, ""Topological finite size effect in one-dimensional chiral symmetric systems,"" arXiv preprint arXiv:2411.17822, 2024. [Online]. Available: https://arxiv.org/abs/2411.17822 and https://doi.org/10.48550/arXiv.2411.17822"
26,"Rubén Ballester, Ernst Röell, Daniel Bīn Schmid, Mathieu Alain, Sergio Escalera, Carles Casacuberta, and Bastian Rieck, ""MANTRA: The Manifold Triangulations Assemblage,"" in Proceedings of the International Conference on Learning Representations (ICLR), 2025. [Online]. Available: https://arxiv.org/abs/2410.02392 and https://doi.org/10.48550/arXiv.2410.02392"
27,"M. W. Ahn, ""On the error-sum function of Pierce expansions,"" Journal of Fractal Geometry, vol. 10, no. 3/4, pp. 389–421, 2023. [Online]. Available: https://ems.press/journals/jfg/articles/12544243"
28,"L. Jiang and H.-J. Ruan, ""Box dimension of generalized affine fractal interpolation functions,"" Journal of Fractal Geometry, vol. 10, no. 3/4, pp. 279–302, 2023. [Online]. Available: https://ems.press/journals/jfg/articles/11973446"
29,"S.-M. Ngai and W. Tang, ""Schrödinger equations defined by a class of self-similar measures,"" Journal of Fractal Geometry, vol. 10, no. 3/4, pp. 209–241, 2023. [Online]. Available: https://ems.press/journals/jfg/articles/11973445"
30,"M. S. Hussein, ""A survey on the computational methods for the determination of fractal dimensions and types of fractals,"" Fractals, vol. 28, no. 7, pp. 2040033-1–2040033-22, 2020. [Online]. Available: https://www.worldscientific.com/doi/abs/10.1142/S0218348X20400338"
31,"C. Bandt and D. Mekhontsev, ""Elementary Fractal Geometry. 2. Carpets Involving Irrational Rotations,"" Fractal and Fractional, vol. 6, no. 1, p. 39, 2022. [Online]. Available: https://www.mdpi.com/2504-3110/6/1/39"
32,"S.I. Ri, V. Drakopoulos, and S.M. Nam, ""Fractal Interpolation Using Harmonic Functions on the Koch Curve,"" Fractal and Fractional, vol. 5, no. 2, p. 28, 2021. [Online]. Available: https://www.mdpi.com/2504-3110/5/2/28"
33,"Md. N. Akhtar, M.G.P. Prasad, M.A. Navascués, and R.N. Mohapatra, ""Fractal Dimension of Fractal Functions on the Real Projective Plane,"" Fractal and Fractional, vol. 7, no. 7, p. 510, 2023. [Online]. Available: https://www.mdpi.com/2504-3110/7/7/510"
34,"A. Berdnikov, L. Guth, and F. Manin, ""Degrees of maps and multiscale geometry,"" Forum of Mathematics, Pi, vol. 12, 2024, e2. [Online]. Available: https://doi.org/10.1017/fmp.2023.33"
35,"J. Miller, S. Sheffield, and W. Werner, ""CLE Percolations,"" Forum of Mathematics, Pi, vol. 5, 2017, e4. [Online]. Available: https://doi.org/10.1017/fmp.2017.5"
36,"A. Hammond, ""A patchwork quilt sewn from Brownian fabric: Regularity of polymer weight profiles in Brownian last passage percolation,"" Forum of Mathematics, Pi, vol. 7, 2019, e2. [Online]. Available: https://doi.org/10.1017/fmp.2019.2"
37,"Biplab Pal, “A fractal geometry immersed in a hierarchical magnetic flux distribution,” Journal of Applied Physics, vol. 137, no. 14, p. 144301, 2025. [Online]. Available: https://arxiv.org/abs/2406.12972"
38,"Lulu Fang, Carlos Gustavo Moreira, and Yiwei Zhang, “Fractal geometry of continued fractions with large coefficients and dimension drop problems,” arXiv preprint arXiv:2409.00521, 2024. [Online]. Available: https://arxiv.org/abs/2409.00521"
39,"Julia El Zini, Bassel Musharrafieh, and Mariette Awad, “On The Potential of The Fractal Geometry and The CNNs Ability to Encode it,” arXiv preprint arXiv:2401.04141, 2024. [Online]. Available: https://arxiv.org/abs/2401.04141"
40,"M. T. Barlow and M. Murugan, ""Stability of the elliptic Harnack inequality,"" Annals of Mathematics, vol. 187, no. 3, pp. 777–823, 2018. [Online]. Available: https://doi.org/10.4007/annals.2018.187.3.4"
41,"R. H. Bamler, ""Convergence of Ricci flows with bounded scalar curvature,"" Annals of Mathematics, vol. 188, no. 3, pp. 753–831, 2018. [Online]. Available: https://doi.org/10.4007/annals.2018.188.3.2"
42,"A. Naor, ""Discrete Riesz transforms and sharp metric $X_p$ inequalities,"" Annals of Mathematics, vol. 184, no. 3, pp. 991–1016, 2016. [Online]. Available: https://doi.org/10.4007/annals.2016.184.3.9"
43,"David Bate, ""Purely unrectifiable metric spaces and perturbations of Lipschitz functions,"" Acta Mathematica, vol. 224, no. 1, pp. 1–116, 2020. [Online]. Available: https://projecteuclid.org/journals/acta-mathematica/volume-224/issue-1/Purely-unrectifiable-metric-spaces-and-perturbations-of-Lipschitz-functions/10.4310/ACTA.2020.v224.n1.a1.pdf"
44,"Christoph Böhm and Ramiro A. Lafuente, ""Non-compact Einstein manifolds with symmetry,"" Journal of the American Mathematical Society, vol. 36, pp. 591–651, 2023. [Online]. Available: https://doi.org/10.1090/jams/1022"
45,"Pierre Lairez, ""Rigid continuation paths I. Quasilinear average complexity for solving polynomial systems,"" Journal of the American Mathematical Society, vol. 33, pp. 487–526, 2020. [Online]. Available: https://doi.org/10.1090/jams/938"
46,"Uri Bader, Pierre-Emmanuel Caprace, and Jean Lécureux, ""On the linearity of lattices in affine buildings and ergodicity of the singular Cartan flow,"" Journal of the American Mathematical Society, vol. 32, pp. 491–562, 2019. [Online]. Available: https://doi.org/10.1090/jams/914"
47,"L. Hitruhin and A. Tsantaris, ""Quasiconformal curves and quasiconformal maps in metric spaces,"" Analysis and Geometry in Metric Spaces, vol. 13, no. 1, pp. 20250019, 2025. [Online]. Available: https://www.degruyter.com/document/doi/10.1515/agms-2025-0019/html"
48,"D. Cao Labora, F. J. Fernández, F. A. F. Tojo, and C. Villanueva Mariz, ""Necessary and sufficient conditions for distances on the real line,"" Analysis and Geometry in Metric Spaces, vol. 13, no. 1, pp. 20250022, 2025. [Online]. Available: https://www.degruyter.com/document/doi/10.1515/agms-2025-0022/html"
49,"Y. Yu, ""Blow-ups of minimal surfaces in the Heisenberg group,"" Analysis and Geometry in Metric Spaces, vol. 13, no. 1, pp. 20250021, 2025. [Online]. Available: https://www.degruyterbrill.com/document/doi/10.1515/agms-2025-0021/html"
50,"Y. Ishiki and K. Koshino, ""On isometric universality of spaces of metrics,"" arXiv preprint arXiv:2409.17701, 18 pages, Sep. 2024. [Online]. Available: https://arxiv.org/abs/2409.17701"
51,"A. Bykov, E. Minguzzi, and S. Suhr, ""Lorentzian metric spaces and GH-convergence: the unbounded case,"" arXiv preprint arXiv:2412.04311, 69 pages, revised May 2025. [Online]. Available: https://arxiv.org/abs/2412.04311"
52,"D. Martínez and F. Vigolo, ""C*-rigidity of bounded geometry metric spaces,"" arXiv preprint arXiv:2501.03128, 15 pages, Jan. 2025. [Online]. Available: https://arxiv.org/abs/2501.03128"
53,"I. G. Korepanov, ""Self-similarity in cubic blocks of R-operators,"" Journal of Mathematical Physics, vol. 64, no. 10, pp. 101704-1–101704-33, Oct. 2023. [Online]. Available: https://doi.org/10.1063/5.0143884"
54,"G. Mograby, R. Balu, K. A. Okoudjou, and A. Teplyaev, ""Spectral decimation of a self-similar version of almost Mathieu-type operators,"" Journal of Mathematical Physics, vol. 63, no. 5, pp. 053501-1–053501-23, May 2022. [Online]. Available: https://doi.org/10.1063/5.0078939"
55,"V. E. Adler and M. P. Kolesnikov, ""Non-Abelian Toda lattice and analogs of Painlevé III equation,"" Journal of Mathematical Physics, vol. 63, no. 10, pp. 103504-1–103504-24, Oct. 2022. [Online]. Available: https://doi.org/10.1063/5.0091939"
56,"Engin Özkan, Bahar Kuloǧlu, James F. Peters, ""K-NARAYANA SEQUENCE SELF-SIMILARITY,"" Chaos, Solitons & Fractals, 2021. [Online]. Available: https://hal.science/hal-03242990"
57,"Tushar Mitra, Tomal Hossain, Santo Banerjee, Md. Kamrul Hassan, ""Similarity and self-similarity in random walk with fixed, random and shrinking steps,"" Chaos, Solitons & Fractals, vol. 145, Article 110790, April 2021. [Online]. Available: https://doi.org/10.1016/j.chaos.2021.110790 (Accepted manuscript: https://arxiv.org/abs/2010.02579)"
58,"Sérgio Luiz E. F. da Silva, ""κ-generalised Gutenberg–Richter law and the self-similarity of earthquakes,"" Chaos, Solitons & Fractals, vol. 143, Article 110622, February 2021. [Online]. Available: https://doi.org/10.1016/j.chaos.2020.110622"
59,"M. Hassanaly and V. Raman, “A self-similarity principle for the computation of rare event probability,” Journal of Physics A: Mathematical and Theoretical, vol. 52, no. 49, pp. 495501, 2019. doi:10.1088/1751-8121/ab5313. [Online]. Available: https://doi.org/10.1088/1751-8121/ab5313"
60,"N. K. Bell, V. N. Grebenev, S. B. Medvedev, and S. V. Nazarenko, “Self-similar evolution of Alfven wave turbulence,” Journal of Physics A: Mathematical and Theoretical, vol. 50, no. 43, pp. 435501, 2017. doi:10.1088/1751-8121/aa8bd9. [Online]. Available: https://doi.org/10.1088/1751-8121/aa8bd9"
61,"A. Pantokratoras, “Comment on ‘Heat conduction: a telegraph-type model with self-similar behavior of solutions’,” Journal of Physics A: Mathematical and Theoretical, vol. 54, no. 5, pp. 057001, 2021. doi:10.1088/1751-8121/aba91e. [Online]. Available: https://doi.org/10.1088/1751-8121/aba91e"
62,"M. Grabchak, ""On the Self-Similarity of Remainder Processes and the Relationship Between Stable and Dickman Distributions,"" Mathematics, vol. 13, no. 6, p. 907, 2025. [Online]. Available: https://www.mdpi.com/2227-7390/13/6/907"
63,"R. R. Nigmatullin and Y. Chen, ""Self-Similarity Principle and the General Theory of Fractal Elements: How to Fit a Random Curve with a Clearly Expressed Trend?,"" Mathematics, vol. 11, no. 12, p. 2781, 2023. [Online]. Available: https://www.mdpi.com/2227-7390/11/12/2781"
64,"A. Ryskan, Z. Arzikulov, T. Ergashev, and A. Berdyshev, ""Self-Similar Solutions of a Multidimensional Degenerate Partial Differential Equation of the Third Order,"" Mathematics, vol. 12, no. 20, p. 3188, 2024. [Online]. Available: https://www.mdpi.com/2227-7390/12/20/3188"
65,"N. Bempedelis, L. Magri, and K. Steiros, ""Extracting self-similarity from data,"" arXiv preprint arXiv:2407.10724, 2024. [Online]. Available: https://arxiv.org/abs/2407.10724"
66,"H. Kwon, M. Kim, S. Kwak, and M. Cho, ""Learning Self-Similarity in Space and Time as Generalized Motion for Video Action Recognition,"" in Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV), 2021, arXiv preprint arXiv:2102.07092. [Online]. Available: https://arxiv.org/abs/2102.07092"
67,"K. Ohkitani, ""Self-similarity in turbulence and its applications,"" arXiv preprint arXiv:2201.04775, 2022. [Online]. Available: https://arxiv.org/abs/2201.04775"
68,"T. Orponen and P. Shmerkin, ""On the Hausdorff dimension of Furstenberg sets and orthogonal projections in the plane,"" Duke Mathematical Journal, vol. 172, no. 18, pp. 3559–3632, 2023. [Online]. Available: https://projecteuclid.org/journals/duke-mathematical-journal/volume-172/issue-18/On-the-Hausdorff-dimension-of-Furstenberg-sets-and-orthogonal-projections/10.1215/00127094-2022-0103.full"
69,"D.-J. Feng, ""Dimension of invariant measures for affine iterated function systems,"" Duke Mathematical Journal, vol. 172, no. 4, pp. 701–774, 2023. [Online]. Available: https://projecteuclid.org/journals/duke-mathematical-journal/volume-172/issue-4/Dimension-of-invariant-measures-for-affine-iterated-function-systems/10.1215/00127094-2022-0014.full"
70,"J. Cao and M. Zhu, ""Upper estimates for the Hausdorff dimension of the temporal attractor for a 3D Keller-Segel-Navier-Stokes system,"" Proceedings of the American Mathematical Society, vol. 153, no. 5, pp. 1983–1997, 2025. [Online]. Available: https://www.ams.org/journals/proc/2025-153-05/S0002-9939-2025-17148-9/S0002-9939-2025-17148-9.pdf"
71,"A. Sarfraz, ""Hausdorff dimension of Julia sets of unicritical correspondences,"" Proceedings of the American Mathematical Society, vol. 151, no. 2, pp. 725–734, 2023. [Online]. Available: https://www.ams.org/journals/proc/2023-151-02/S0002-9939-2022-16125-5/S0002-9939-2022-16125-5.pdf"
72,"J. M. Fraser, D. C. Howroyd, A. Käenmäki, and H. Yu, ""On the Hausdorff dimension of microsets,"" Proceedings of the American Mathematical Society, vol. 147, no. 11, pp. 4607–4617, 2019. [Online]. Available: https://www.ams.org/journals/proc/2019-147-11/S0002-9939-2019-14613-X/"
73,"M. Myllyoja, ""Hausdorff dimension of limsup sets of isotropic rectangles in Heisenberg groups,"" Journal of Fractal Geometry, vol. 11, no. 3/4, pp. 219–246, 2024. [Online]. Available: https://ems.press/journals/jfg/articles/14298232"
74,"P. Mattila, ""Hausdorff dimension of intersections with planes and general sets,"" Journal of Fractal Geometry, vol. 8, no. 4, pp. 389–401, 2021. [Online]. Available: https://ems.press/journals/jfg/articles/2856269"
75,"K. Héra, T. Keleti, and A. Máthé, ""Hausdorff dimension of unions of affine subspaces and of Furstenberg-type sets,"" Journal of Fractal Geometry, vol. 6, no. 3, pp. 263–284, 2019. [Online]. Available: https://ems.press/journals/jfg/articles/16321"
76,"W. Bergweiler and A. Tsantaris, ""Hausdorff dimension in quasiregular dynamics,"" Israel Journal of Mathematics, vol. 265, pp. 429–465, 2025. [Online]. Available: https://doi.org/10.1007/s11856-024-2664-3"
77,"L. Crone, L. Fishman, and S. Jackson, ""Hausdorff dimension regularity properties and games,"" Israel Journal of Mathematics, vol. 248, pp. 481–500, 2022. [Online]. Available: https://doi.org/10.1007/s11856-022-2299-1"
78,"B. Klopsch, A. Thillaisundaram, and A. Zugadi-Reizabal, ""Hausdorff dimensions in p-adic analytic groups,"" Israel Journal of Mathematics, vol. 231, pp. 1–23, 2019. [Online]. Available: https://doi.org/10.1007/s11856-019-1852-z"
79,"N. S. Aranov and T. Kim, ""Hausdorff dimension of singular vectors in function fields,"" arXiv preprint arXiv:2405.11274, May 2024. [Online]. Available: https://arxiv.org/abs/2405.11274"
80,"D. Hatefi and D. Simmons, ""Hausdorff dimension of differences of badly approximable sets,"" arXiv preprint arXiv:2412.01669, Dec. 2024. [Online]. Available: https://arxiv.org/abs/2412.01669"
81,"M. Biskup, S. Gufler, and O. Louidor, ""On support sets of the critical Liouville Quantum Gravity,"" arXiv preprint arXiv:2406.02814, Jun. 2024. [Online]. Available: https://arxiv.org/abs/2406.02814"
82,"U. Bunke, ""On the topological contents of η–invariants,"" Geometry & Topology, vol. 21, no. 3, pp. 1675–1744, 2017. [Online]. Available: https://msp.org/gt/2017/21-3/gt-v21-n3-p01-s.pdf"
83,"A. Esterov and L. Lang, ""Sparse polynomial equations and other enumerative problems via Newton polytopes and resultants,"" Geometry & Topology, vol. 25, no. 6, pp. 3071–3140, 2021. [Online]. Available: https://msp.org/gt/2021/25-6/gt-v25-n6-p06-s.pdf"
84,"D. Ascari and F. Milizia, ""Weakly Bounded Cohomology Classes and a Counterexample to a Conjecture of Gromov,"" Geometric and Functional Analysis, vol. 34, no. 3, pp. 631–658, 2024. DOI: 10.1007/s00039-024-00676-9. [Online]. Available: https://link.springer.com/article/10.1007/s00039-024-00676-9"
85,"R. H. Bamler, C. Cifarelli, R. J. Conlon, and A. Deruelle, ""A New Complete Two-Dimensional Shrinking Gradient Kähler-Ricci Soliton,"" Geometric and Functional Analysis, vol. 34, no. 2, pp. 377–392, 2024. DOI: 10.1007/s00039-024-00668-9. [Online]. Available: https://link.springer.com/article/10.1007/s00039-024-00668-9"
86,"M. Kawasaki, M. Kimura, and M. Mimura, ""Commuting symplectomorphisms on a surface and the flux homomorphism,"" Geometric and Functional Analysis, vol. 33, no. 5, pp. 1322–1353, 2023. DOI: 10.1007/s00039-023-00644-9. [Online]. Available: https://link.springer.com/article/10.1007/s00039-023-00644-9"
87,"M. Costantini, M. Möller, and J. Zachhuber, ""The Chern classes and Euler characteristic of the moduli spaces of Abelian differentials,"" Forum of Mathematics, Pi, vol. 10, 2022, e16. [Online]. Available: https://doi.org/10.1017/fmp.2022.10"
88,"Taejin Paik and Otto van Koert, ""Expectation of Topological Invariants,"" arXiv preprint arXiv:2211.12058 [math.GT], 9 pages, Nov. 2022. [Online]. Available: https://arxiv.org/abs/2211.12058"
89,"Stavros Garoufalidis and Seokbeom Yoon, ""Asymptotically Multiplicative Quantum Invariants,"" arXiv preprint arXiv:2211.00270 [math.GT], 31 pages, revised Jun. 2023. [Online]. Available: https://arxiv.org/abs/2211.00270"
90,"Daniel López Neumann and Roland van der Veen, ""Genus Bounds for Twisted Quantum Invariants,"" arXiv preprint arXiv:2211.15010 [math.QA; math.GT], 31 pages, Nov. 2022. [Online]. Available: https://arxiv.org/abs/2211.15010"
91,"L. Ge, ""On the almost reducibility conjecture,"" Geometric and Functional Analysis, vol. 34, no. 1, pp. 32–59, 2024. [Online]. Available: https://link.springer.com/article/10.1007/s00039-023-00353-w"
92,"T. Orponen, P. Shmerkin, and H. Wang, ""Kaufman and Falconer Estimates for Radial Projections and a Continuum Version of Beck’s Theorem,"" Geometric and Functional Analysis, vol. 34, no. 1, pp. 164–201, 2024. [Online]. Available: https://link.springer.com/article/10.1007/s00039-023-00355-8"
93,"S. Eriksson-Bique, ""Characterizing spaces satisfying Poincaré inequalities and applications to differentiability,"" Geometric and Functional Analysis, vol. 29, pp. 119–189, 2019. [Online]. Available: https://link.springer.com/article/10.1007/s00039-019-00479-3"
94,"I. Bailleul, M. Hoshino, and S. Kusuoka, ""Regularity Structures for Quasilinear Singular SPDEs,"" Archive for Rational Mechanics and Analysis, vol. 248, no. 6, Nov. 2024. [Online]. Available: https://link.springer.com/article/10.1007/s00205-024-01842-4"
95,"Q.-H. Nguyen, S. Nowak, and M. Weidner, ""Potential Theory for Nonlocal Drift-Diffusion Equations,"" Archive for Rational Mechanics and Analysis, vol. 248, no. 6, Nov. 2024. [Online]. Available: https://link.springer.com/article/10.1007/s00205-024-01840-6"
96,"F. Santambrogio and G. Toshpulatov, ""Strong \(L^2 H^2\) Convergence of the JKO Scheme for the Fokker–Planck Equation,"" Archive for Rational Mechanics and Analysis, vol. 248, no. 6, Oct. 2024. [Online]. Available: https://link.springer.com/article/10.1007/s00205-024-01824-6"
97,"E. A. Carlen and J. Maas, ""Gradient flow and entropy inequalities for quantum Markov semigroups with detailed balance,"" Journal of Functional Analysis, vol. 273, no. 5, pp. 1810-1869, 2017. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0022123617301878"
98,"J. Sampat and O. M. Shalit, ""On the classification of function algebras on subvarieties of noncommutative operator balls,"" Journal of Functional Analysis, vol. 288, no. 2, Article 110703, 2025. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S0022123624003914"
99,"S. Pal and O. M. Shalit, ""Spectral sets and distinguished varieties in the symmetrized bidisc,"" Journal of Functional Analysis, vol. 266, no. 9, pp. 5779-5800, 2014. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0022123613004965"
100,"J. Parcet, M. de la Salle, and E. Tablate, “The local geometry of idempotent Schur multipliers,” Forum of Mathematics, Pi, vol. 13, 2025, e14. Available: https://doi.org/10.1017/fmp.2025.6"
101,"I. Łaba and I. Londner, “Combinatorial and harmonic-analytic methods for integer tilings,” Forum of Mathematics, Pi, vol. 10, 2022, e8. Available: https://doi.org/10.1017/fmp.2022.3"
102,"P. Caro and K. M. Rogers, “Global uniqueness for the Calderón problem with Lipschitz conductivities,” Forum of Mathematics, Pi, vol. 4, 2016, e2. Available: https://doi.org/10.1017/fmp.2015.9"
103,"Syamantak Das and Tanmoy Paul, ""On best constrained and best simultaneous approximation in Banach spaces,"" arXiv preprint arXiv:2505.10851 [math.FA], 2025. [Online]. Available: https://arxiv.org/abs/2505.10851"
104,"Youngmi Hur and Hyojae Lim, ""New Tight Wavelet Frame Constructions Sharing Responsibility,"" arXiv preprint arXiv:2405.13458 [math.FA], 2025. [Online]. Available: https://arxiv.org/abs/2405.13458"
105,"Avas Banerjee, Riju Basak, and Prasun Roychowdhury, ""Extremizer Stability of Higher-order Hardy-Rellich inequalities for Baouendi--Grushin vector fields,"" arXiv preprint arXiv:2504.19864 [math.AP], 2025. [Online]. Available: https://arxiv.org/abs/2504.19864"
106,"Y. Wang, X. Xiang, and J. Lü, ""New Fractal Sets Coined from Fractional Maps,"" Fractals, vol. 29, no. 12, pp. 2150270, 2021. [Online]. Available: https://www.worldscientific.com/doi/abs/10.1142/S0218348X21502704"
107,"Y. Yin, Z. Zhang, and H. Sun, ""Fractal Operators and Fractional Dynamics with 1/2 Order in Fractal Spaces,"" Fractal and Fractional, vol. 6, no. 7, p. 378, 2022. [Online]. Available: https://www.mdpi.com/2504-3110/6/7/378"
108,"I. Stepanov, S. Kirillov, Y. Korolev, and Y. Koroleva, ""Image Fractal Analyser as a Tool for Fractal Study of Geometrical Structures in Nature,"" Fractals, vol. 25, no. 2, pp. 1750009-1–1750009-15, 2017. [Online]. Available: https://www.worldscientific.com/doi/abs/10.1142/S0218348X17500098"
109,"H. Sari, R. Ormarsson, Y. Yin, A. Ersson, and S. K. Wilfred, ""Analysis of Fractal Character in Axial Loads of Timber Columns: Scale, Geometry, and Material Effects,"" Fractals, vol. 32, no. 1, pp. 2450017-1–2450017-13, 2024. [Online]. Available: https://www.worldscientific.com/doi/abs/10.1142/S0218348X24500177"
110,"S. Wenger, ""Characterizations of metric spaces whose Wasserstein spaces are non-branching,"" Acta Mathematica, vol. 220, no. 2, pp. 211–307, 2018. [Online]. Available: https://projecteuclid.org/journals/acta-mathematica/volume-220/issue-2/Characterizations-of-metric-spaces-whose-Wasserstein-spaces-are-non-branching/10.4310/ACTA.2018.v220.n2.a1.pdf"
111,"Assaf Naor and Robert Young, ""Vertical versus horizontal Poincaré inequalities on the Heisenberg group,"" Acta Mathematica, vol. 221, no. 2, pp. 363–407, 2018. [Online]. Available: https://projecteuclid.org/journals/acta-mathematica/volume-221/issue-2/Vertical-versus-horizontal-Poincare-inequalities-on-the-Heisenberg-group/10.4310/ACTA.2018.v221.n2.a2.pdf"
