Index,Citation
28,"[R. Reinanda, E. Meij, and M. de Rijke, ""Knowledge Graphs: An Information Retrieval Perspective,"" Foundations and Trends® in Information Retrieval, vol. 14, no. 4, pp. 289–444, 2020. [Online]. Available: https://www.nowpublishers.com/article/Details/INR-063]"
29,"[Y. Qiao, S. Ji, C. Wang, J. Shao, and T. Yang, ""Privacy-aware document retrieval with two-level inverted indexing,"" Information Retrieval Journal, vol. 26, Art. no. 12, 2023. [Online]. Available: https://link.springer.com/article/10.1007/s10791-023-09428-z]"
30,"[T. Gagie, A. Hartikainen, K. Karhu, J. Kärkkäinen, G. Navarro, S. J. Puglisi, and J. Sirén, ""Document retrieval on repetitive string collections,"" Information Retrieval Journal, vol. 20, pp. 273–303, 2017. [Online]. Available: https://doi.org/10.1007/s10791-017-9297-7]"
31,"[J. Lin and A. Trotman, ""The role of index compression in score-at-a-time query evaluation,"" Information Retrieval Journal, vol. 20, pp. 274–314, 2017. [Online]. Available: https://doi.org/10.1007/s10791-016-9291-5]"
32,"[Xingyan Bin, Jianfei Cui, Wujie Yan, Zhichen Zhao, Xintian Han, Chongyang Yan, Feng Zhang, Xun Zhou, Qi Wu, and Zuotao Liu,  ""Real-time Indexing for Large-scale Recommendation by Streaming Vector Quantization Retriever,""  arXiv preprint arXiv:2501.08695, pp. 1–20, 2024.  Available: https://arxiv.org/abs/2501.08695]"
33,"[Liyang Sun, Yujing Wang, Zejian Wang, Xinyi Wu, Xiangming Dou, Jinji Li, Yicheng Bai, Xuerui Wang, Weinan Zhang, Yong Yu, and Zhenguo Li,  ""The Disruption Index Measures Displacement Between a Paper and Its Citations,""  arXiv preprint arXiv:2504.04677, 2024.  Available: https://arxiv.org/abs/2504.04677]"
34,"[Kiyonari Kobayashi, Shusuke Shimbo, and Yuji Matsumoto,  ""Resource-Efficient Index Advisor Utilizing Large Language Model,""  arXiv preprint arXiv:2503.07884, 2024.  Available: https://arxiv.org/abs/2503.07884]"
35,"[H. Wei, P. Li, H. Gao and C. Wang, ""String Similarity Search: A Hash-Based Approach,"" IEEE Transactions on Knowledge and Data Engineering, vol. 29, no. 7, pp. 1371-1385, July 2017. [Online]. Available: https://ieeexplore.ieee.org/document/8051071]"
36,"[H. Wang, J. Zhang, Y. Wei, Y. Wang, X. Zhang and J. Pei, ""Neural Similarity Search on Supergraph Containment,"" IEEE Transactions on Knowledge and Data Engineering, vol. 35, no. 11, pp. 11200-11214, Nov. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10135129/]"
37,"[D. Zhang, Y. Huang, H. Wang, D. Yang, Z. He and J. Xu, ""Continuous Trajectory Similarity Search for Online Outlier Detection,"" IEEE Transactions on Knowledge and Data Engineering, vol. 33, no. 10, pp. 3405-3419, Oct. 2021. [Online]. Available: https://ieeexplore.ieee.org/document/9306918/]"
38,"[J. Zhang, J. Tang, C. Ma, X. Chen, Y. Liu, and J. Li, ""Fast and Flexible Top-k Similarity Search on Large Networks,"" ACM Transactions on Information Systems, vol. 36, no. 2, Article 14, pp. 1-34, May 2018. [Online]. Available: https://dl.acm.org/doi/10.1145/3086695]"
39,"[S. Wang, L. Qin, J. X. Yu, R. Jin, and L. Chang, ""Continuously Adaptive Similarity Search,"" ACM Transactions on Information Systems, vol. 38, no. 3, Article 28, pp. 1–28, June 2020. [Online]. Available: https://dl.acm.org/doi/10.1145/3318464.3380601]"
40,"[J. Li, B. He, and D. Wang, ""A Scalable Random-Walk-Based Network Embedding Algorithm with Local Structural Information,"" Journal of Artificial Intelligence Research, vol. 71, pp. 651–683, 2021. [Online]. Available: https://jair.org/index.php/jair/article/view/12567/26689]"
41,"[A. Koudounas, C. Papagiannopoulou, L. Rokach, and S. Papadopoulos, ""Gradient-based Learning Methods Extended to Similarity-Based Models for Large-Scale Data,"" Journal of Artificial Intelligence Research, vol. 69, pp. 1209–1247, 2020. [Online]. Available: https://jair.org/index.php/jair/article/view/12192/26600]"
42,"[Jorge Martinez-Gil, ""Evaluation of Code Similarity Search Strategies in Large-Scale Codebases,"" Machine Learning with Applications, vol. 10, Art. no. 100423, 2022. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S2666827022000868]"
43,"[Muhammad Umair Hassan, Xiuyang Zhao, Raheem Sarwar, Naif R. Aljohani, S. M. M. Rahman, K. Muhammad, and M. A. Raza, ""SODRet: Instance retrieval using salient object detection for self-service shopping,"" Machine Learning with Applications, vol. 15, Art. no. 100523, March 2024. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S2666827023000762]"
44,"[Jean Bertin, ""Advancing Similarity Search with GenAI: A Retrieval Augmented Generation Approach,"" arXiv preprint arXiv:2501.04006 [cs.IR], Dec. 2024. [Online]. Available: https://arxiv.org/abs/2501.04006]"
45,"[Simeon Emanuilov and Aleksandar Dimov, ""Billion-scale Similarity Search Using a Hybrid Indexing Approach with Advanced Filtering,"" Cybernetics and Information Technologies, vol. 24, no. 4, pp. 45-58, 2024. [Online]. Available: https://arxiv.org/abs/2501.13442 ; https://doi.org/10.2478/cait-2024-0035]"
46,"[Patrick Schäfer, Jakob Brand, Ulf Leser, Botao Peng, and Themis Palpanas, ""Fast and Exact Similarity Search in less than a Blink of an Eye,"" arXiv preprint arXiv:2411.17483 [cs.DB], revised Dec. 2024. [Online]. Available: https://arxiv.org/abs/2411.17483]"
47,"[S. Ray and B. Nickerson, ""Temporally relevant parallel top-k spatial keyword search,"" Journal of Spatial Information Science, no. 24, pp. 1–36, 2022. [Online]. Available: https://josis.org/index.php/josis/article/view/199]"
48,"[M. F. Mokbel, ""Thinking spatial,"" Journal of Spatial Information Science, no. 21, pp. 3–11, 2020. [Online]. Available: https://josis.org/index.php/josis/article/view/128]"
49,"[M. Hojati, R. Feick, S. Roberts, C. Farmer, and C. Robertson, ""Distributed spatial data sharing: a new model for data ownership and access control,"" Journal of Spatial Information Science, no. 27, pp. 1–26, 2023. [Online]. Available: https://josis.org/index.php/josis/article/view/220]"
50,"[S. Ladra, M. Rodríguez Luaces, J. R. Parama, and F. Silva-Coira, ""Compact and indexed representation for LiDAR point clouds,"" International Journal of Geographical Information Science, vol. 27, no. 4, pp. 1035–1070, 2024. [Online]. Available: https://www.tandfonline.com/doi/full/10.1080/10095020.2022.2121664]"
51,"[A. Chaves Carniel, ""Defining and designing spatial queries: the role of spatial relationships,"" Geo-spatial Information Science, vol. 27, no. 6, pp. 1868–1892, 2024. [Online]. Available: https://www.tandfonline.com/doi/full/10.1080/10095020.2022.2163924]"
52,"[Y. Li, R. Zhang, Q. Ma, J. Song, B. Zhang, M. Bai, W. Wang, and Y. Li, ""CSD-RkNN: reverse k nearest neighbors queries with category-sensitive distance,"" International Journal of Geographical Information Science, vol. 37, no. 8, pp. 1709–1730, 2023. [Online]. Available: https://www.tandfonline.com/doi/abs/10.1080/13658816.2023.2249521]"
53,"[K. Vrotsou, J. Johansson, J. Jern, A. Backman, and R. Strömberg, ""An Interactive Approach for Exploration of Flows Through a Matrix-based Visual Representation,"" Journal of Geovisualization and Spatial Analysis, vol. 1, no. 1–2, pp. 21–36, Dec. 2017. [Online]. Available: https://link.springer.com/article/10.1007/s41651-017-0001-7]"
54,"[V. Pandey, A. van Renen, E. T. Zacharatou, A. Kipf, I. Sabek, J. Ding, V. Markl, and A. Kemper, ""Enhancing In-Memory Spatial Indexing with Learned Search,"" arXiv preprint arXiv:2309.06354, 2023. [Online]. Available: https://arxiv.org/abs/2309.06354]"
55,"[S. Shaham, G. Ghinita, and C. Shahabi, ""Fair Spatial Indexing: A paradigm for Group Spatial Fairness,"" arXiv preprint arXiv:2302.02306, 2023. [Online]. Available: https://arxiv.org/abs/2302.02306]"
56,"[M. Lawson, W. Gropp, and J. Lofstead, ""Exploring Spatial Indexing for Accelerated Feature Retrieval in HPC,"" arXiv preprint arXiv:2106.13972, 2021. [Online]. Available: https://arxiv.org/abs/2106.13972]"
57,"[Abhinav Natarajan, Maria De Iorio, Andreas Heinecke, Emanuel Mayer, and Simon Glenn, ""Cohesion and Repulsion in Bayesian Distance Clustering,"" Journal of the American Statistical Association, vol. 119, no. 546, pp. 1374–1384, Apr. 2024. [Online]. Available: https://doi.org/10.1080/01621459.2023.2191821]"
58,"[Qing Mai, Xin Zhang, Yuqing Pan, and Kai Deng, ""A Doubly Enhanced EM Algorithm for Model-Based Tensor Clustering,"" Journal of the American Statistical Association, vol. 117, no. 540, pp. 2120–2134, Oct. 2022. [Online]. Available: https://doi.org/10.1080/01621459.2021.1904959]"
59,"[A. Adolfsson, M. Ackerman, and N. C. Brownstein, ""To cluster, or not to cluster: An analysis of clusterability methods,"" Pattern Recognition, vol. 88, pp. 13–26, Apr. 2019. [Online]. Available: https://doi.org/10.1016/j.patcog.2018.10.026]"
60,"[N. Wiroonsri, ""Clustering performance analysis using a new correlation-based cluster validity index,"" Pattern Recognition, vol. 145, p. 109910, Jan. 2024. [Online]. Available: https://doi.org/10.1016/j.patcog.2023.109910]"
61,"[Y. Pang, X. Zhou, J. Zhang, Q. Sun, and J. Zheng, ""Hierarchical electricity time series prediction with cluster analysis and sparse penalty,"" Pattern Recognition, vol. 126, p. 108599, Jun. 2022. [Online]. Available: https://doi.org/10.1016/j.patcog.2022.108599]"
62,"[J. Yang and C.-T. Lin, ""Autonomous clustering by fast find of mass and distance peaks,"" IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 47, no. 1, pp. 1-14, 2025. [Online]. Available: https://ieeexplore.ieee.org/document/10856563]"
63,"[N. Phelps and A. Metzler, ""An exploratory clustering analysis of the 2016 National Financial Well-Being Survey,"" PLoS ONE, vol. 19, no. 9, e0309260, 2024. Available: https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0309260]"
64,"[M. Z. Rodriguez, C. H. Comin, D. Casanova, O. M. Bruno, D. R. Amancio, L. da F. Costa, and F. A. Rodrigues, ""Clustering algorithms: A comparative approach,"" PLoS ONE, vol. 14, no. 1, e0210236, 2019. Available: https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210236]"
65,"[E. J. Aguilar and V. C. Barbosa, ""Shape complexity in cluster analysis,"" PLoS ONE, vol. 18, no. 5, e0286312, 2023. Available: https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0286312]"
66,"[Z. Gniazdowski, ""New Approach to Clustering Random Attributes,"" Zeszyty Naukowe WWSI, no. 31, vol. 19, pp. 41-90, 2024. [Online]. Available: https://arxiv.org/abs/2412.09748. doi:10.48550/arXiv.2412.09748]"
67,"[J. Paparrizos, F. Yang, and H. Li, ""Bridging the Gap: A Decade Review of Time-Series Clustering Methods,"" arXiv preprint arXiv:2412.20582, 2024. [Online]. Available: https://arxiv.org/abs/2412.20582]"
68,"[A. J. Gallego, J. R. Rico-Juan, and J. J. Valero-Mas, ""Efficient k-nearest neighbor search based on clustering and adaptive k values,"" Pattern Recognition, vol. 122, pp. 108356, Feb. 2022. [Online]. Available: https://doi.org/10.1016/j.patcog.2021.108356]"
69,"[B. Tang, H. He, and S. Zhang, ""MCENN: A variant of extended nearest neighbor method for pattern recognition,"" Pattern Recognition Letters, vol. 133, pp. 116–122, May 2020. [Online]. Available: https://doi.org/10.1016/j.patrec.2020.01.015]"
70,"[Y. Zhang, M. Xiang, and B. Yang, ""Graph regularized nonnegative sparse coding using incoherent dictionary for approximate nearest neighbor search,"" Pattern Recognition, vol. 70, pp. 75–88, Oct. 2017. [Online]. Available: https://doi.org/10.1016/j.patcog.2017.05.004]"
71,"[S. Uddin, I. Haque, H. Lu, M. A. Moni, and E. Gide, “Comparative performance analysis of K-nearest neighbour (KNN) algorithm and its different variants for disease prediction,” Scientific Reports, vol. 12, Art. no. 6256, 2022. [Online]. Available: https://www.nature.com/articles/s41598-022-10358-x]"
72,"[A. Ali, Z. Khan, H. Du, and S. Aldahmani, “Double weighted k nearest neighbours for binary classification of high dimensional genomic data,” Scientific Reports, vol. 15, Art. no. 12681, 2025. [Online]. Available: https://www.nature.com/articles/s41598-025-97505-2]"
73,"[R. K. Halder, M. N. Uddin, M. A. Uddin, S. Aryal, and A. Khraisat, ""Enhancing K-nearest neighbor algorithm: a comprehensive review and performance analysis of modifications,"" Journal of Big Data, vol. 11, no. 1, Article no. 113, 2024. [Online]. Available: https://journalofbigdata.springeropen.com/articles/10.1186/s40537-024-00973-y]"
74,"[A. A. Amer, S. D. Ravana, and R. A. A. Habeeb, ""Effective k-nearest neighbor models for data classification enhancement,"" Journal of Big Data, vol. 12, Article no. 86, 2025. [Online]. Available: https://journalofbigdata.springeropen.com/articles/10.1186/s40537-025-01137-2]"
75,"[G. Chatzigeorgakidis, S. Karagiorgou, S. Athanasiou, and S. Skiadopoulos, ""FML-kNN: scalable machine learning on Big Data using k-nearest neighbor joins,"" Journal of Big Data, vol. 5, Article no. 4, 2018. [Online]. Available: https://journalofbigdata.springeropen.com/articles/10.1186/s40537-018-0115-x]"
76,"[Sarita de Berg and Frank Staals, “Nearest Neighbor Searching in a Dynamic Simple Polygon,” presented at the Symposium on Computational Geometry (SoCG) 2025, arXiv preprint arXiv:2503.03435, 22 pages, 2025. [Online]. Available: https://arxiv.org/abs/2503.03435]"
77,"[Xiaoyao Zhong, Haotian Li, Jiabao Jin, Mingyu Yang, Deming Chu, Xiangyu Wang, Zhitao Shen, Wei Jia, George Gu, Yi Xie, Xuemin Lin, Heng Tao Shen, Jingkuan Song, and Peng Cheng, “VSAG: An Optimized Search Framework for Graph-based Approximate Nearest Neighbor Search,” arXiv preprint arXiv:2503.17911, 16 pages, 2025. [Online]. Available: https://arxiv.org/abs/2503.17911]"
78,"[Mingyu Yang, Wentao Li, and Wei Wang, “Fast High-dimensional Approximate Nearest Neighbor Search with Efficient Index Time and Space,” arXiv preprint arXiv:2411.06158, 8 pages, version 3, 2025. [Online]. Available: https://arxiv.org/abs/2411.06158]"
79,"[Jean-Daniel Boissonnat, Karthik C. S., and Sébastien Tavenas, ""Building Efficient and Compact Data Structures for Simplicial Complexes,"" Algorithmica, vol. 79, no. 2, pp. 530-567, Nov. 2017. [Online]. Available: https://doi.org/10.1007/s00453-017-0373-8]"
80,"[Alberto Policriti and Nicola Prezza, ""LZ77 Computation Based on the Run-Length Encoded BWT,"" Algorithmica, vol. 80, no. 7, pp. 1986-2011, July 2018. [Online]. Available: https://doi.org/10.1007/s00453-017-0379-2]"
81,"[Johannes Fischer, Tomohiro I, Dominik Köppl, and Kunihiko Sadakane, ""Lempel-Ziv Factorization Powered by Space Efficient Suffix Trees,"" Algorithmica, vol. 80, no. 7, pp. 2048-2081, July 2018. [Online]. Available: https://doi.org/10.1007/s00453-017-0354-y]"
82,"[Huacheng Yu, ""Nearly Optimal Static Las Vegas Succinct Dictionary,"" SIAM Journal on Computing, vol. 51, no. 3, pp. 20-174, 2022. [Online]. Available: https://dblp.org/rec/journals/siamcomp/Yu22]"
83,"[Kasper Green Larsen, Omri Weinstein, and Huacheng Yu, ""Crossing the Logarithmic Barrier for Dynamic Boolean Data Structure Lower Bounds,"" SIAM Journal on Computing, vol. 49, no. 5, 2020. [Online]. Available: https://dblp.org/rec/journals/siamcomp/LarsenWY20]"
84,"[Sayan Bhattacharya, Monika Henzinger, and Giuseppe F. Italiano, ""Deterministic Fully Dynamic Data Structures for Vertex Cover and Matching,"" SIAM Journal on Computing, vol. 47, no. 3, pp. 859-887, 2018. [Online]. Available: https://dblp.org/rec/journals/siamcomp/BhattacharyaHI18]"
85,"[Z. Yuan, C. L. Philip Chen, ""Forgetful Forests: Data Structures for Machine Learning on Data Streams with Incremental Computation and Filtering,"" Algorithms, vol. 16, no. 6, Art. no. 278, 2023. [Online]. Available: https://www.mdpi.com/1999-4893/16/6/278]"
86,"[M. Aleksandrov, P. J. Prentice, F. Wereszczuk, ""Voxelisation Algorithms and Data Structures: A Review,"" Sensors, vol. 21, no. 24, Art. no. 8241, 2021. [Online]. Available: https://www.mdpi.com/1424-8220/21/24/8241]"
87,"[J. E. Schmitz, J. Zentgraf, and S. Rahmann, ""Smaller and More Flexible Cuckoo Filters,"" arXiv preprint arXiv:2505.05847 [cs.DS], 2025. [Online]. Available: https://arxiv.org/abs/2505.05847]"
88,"[P. Afereidoon, ""persiansort: an alternative to mergesort inspired by persian rug,"" arXiv preprint arXiv:2505.05775 [cs.DS], 2025. [Online]. Available: https://arxiv.org/abs/2505.05775]"
89,"[L. P. Barnes, S. Cameron, and B. Howard, ""On Unbiased Low-Rank Approximation with Minimum Distortion,"" arXiv preprint arXiv:2505.09647 [cs.DS], 2025. [Online]. Available: https://arxiv.org/abs/2505.09647]"
90,"[N. Marco, D. Şentürk, S. Jeste, C. C. DiStefano, A. Dickinson, and D. Telesca, ""Flexible regularized estimation in high-dimensional mixed membership models,"" Computational Statistics & Data Analysis, vol. 194, Article no. 107931, June 2024. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S016794732400015X]"
91,"[B. Chen, F. Chen, J. Wang, and T. Qiu, ""An efficient and distribution-free symmetry test for high-dimensional data based on energy statistics and random projections,"" Computational Statistics & Data Analysis, vol. 206, Article no. 108123, 2025. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S016794732400207X]"
92,"[P. Yuan, C. Jin, and G. Li, ""FDR control for linear log-contrast models with high-dimensional compositional covariates,"" Computational Statistics & Data Analysis, vol. 197, Article no. 107973, 2024. [Online]. Available: https://www.sciencedirect.com/science/article/abs/pii/S0167947324000574]"
93,"[S. W. Harrar and X. Kong, ""Recent developments in high-dimensional inference for multivariate data: Parametric, semiparametric and nonparametric approaches,"" Journal of Multivariate Analysis, vol. 188, Article 104855, 2022. [Online]. Available: https://doi.org/10.1016/j.jmva.2021.104855]"
94,"[Y. Yin, ""Test for high-dimensional mean vector under missing observations,"" Journal of Multivariate Analysis, vol. 186, Article 104797, 2021. [Online]. Available: https://doi.org/10.1016/j.jmva.2021.104797]"
95,"[J. Li, ""Finite sample t-tests for high-dimensional means,"" Journal of Multivariate Analysis, vol. 196, Article 105183, 2023. [Online]. Available: https://doi.org/10.1016/j.jmva.2023.105183]"
96,"Neda Dousti Mousavi, S. Mostafa Hosseini, and Mahdi Mahmoudi, ""Categorical Data Analysis for High-Dimensional Sparse Covariates with Multinomial Responses: An RNA-Seq Cancer Application,"" Mathematics, vol. 11, no. 14, pp. 3202, 2023. [Online]. Available: https://www.mdpi.com/2227-7390/11/14/3202"
97,"Md Firoz Ahmed, Sujit Kumar Mitra, and Rajdeep Mitra, ""Ensemble Linear Subspace Analysis of High-Dimensional Data: Theory and Applications,"" Mathematics, vol. 9, no. 21, pp. 2669, 2021. [Online]. Available: https://www.mdpi.com/2227-7390/9/21/2669"
98,"Bharathi B. K. and K. Jaganathan, ""The Intrinsic Structure of High-Dimensional Data According to Principal Graphs,"" Mathematics, vol. 10, no. 20, pp. 3894, 2022. [Online]. Available: https://www.mdpi.com/2227-7390/10/20/3894"
99,"E. F. de Oliveira, P. Garg, J. Hjerling-Leffler, R. Batista-Brito, and L. Sjulson, ""Identifying patterns differing between high-dimensional datasets with generalized contrastive PCA,"" PLOS Computational Biology, vol. 21, no. 2, e1012747, 2025. [Online]. Available: https://doi.org/10.1371/journal.pcbi.1012747"
100,"E. Gorstein, R. Aghdam, and C. Solís-Lemus, ""HighDimMixedModels.jl: Robust high-dimensional mixed-effects models across omics data,"" PLOS Computational Biology, vol. 21, no. 1, e1012143, 2025. [Online]. Available: https://doi.org/10.1371/journal.pcbi.1012143"
101,"J. Liu and M. Vinck, ""Improved visualization of high-dimensional data using the distance-of-distance transformation,"" PLOS Computational Biology, vol. 18, no. 12, e1010764, 2022. [Online]. Available: https://doi.org/10.1371/journal.pcbi.1010764"
102,"Vasilis Chasiotis, Lin Wang, and Dimitris Karlis, ""Efficient subsampling for high-dimensional data,"" arXiv preprint arXiv:2411.06298, 2024. [Online]. Available: https://arxiv.org/abs/2411.06298"
103,"Xiangbo Mo and Hao Chen, ""A new classification framework for high-dimensional data,"" arXiv preprint arXiv:2306.15199, 2024. [Online]. Available: https://arxiv.org/abs/2306.15199"
104,"Arnab Auddy, Dong Xia, and Ming Yuan, ""Tensor Methods in High Dimensional Data Analysis: Opportunities and Challenges,"" arXiv preprint arXiv:2405.18412, 2024. [Online]. Available: https://arxiv.org/abs/2405.18412"
105,"R. M. Perera, B. Oetomo, B. I. P. Rubinstein, R. Borovica-Gajic, and M. Roughan, ""No DBA? No Regret! Multi-Armed Bandits for Index Tuning of Analytical and HTAP Workloads With Provable Guarantees,"" IEEE Transactions on Knowledge and Data Engineering, vol. 35, no. 12, pp. 12221-12237, Dec. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10113193"
