Index,Citation
11,"Chuyuan Wei, Ke Duan, Shengda Zhuo, Hongchun Wang, Shuqiang Huang, Jie Liu, “Enhanced Recommendation Systems with Retrieval-Augmented Large Language Model,” Journal of Artificial Intelligence Research, vol. 82, 2025, pp. 1–27. [Online]. Available: https://jair.org/index.php/jair/article/view/17809"
12,"Maurice Abaho, Jialiang Guo, Sebastien Harpe, “Enhanced Dense Retrieval Knowledge Graph Augmentation,” Journal of Artificial Intelligence Research, vol. 80, 2024, pp. 1139–1178. [Online]. Available: https://jair.org/index.php/jair/article/view/14365"
13,"Federico Castagna, Sara Tonelli, Serena Villata, “Computational Argumentation-based Chatbots: a Survey,” Journal of Artificial Intelligence Research, vol. 80, 2024, pp. 1269–1330. [Online]. Available: https://jair.org/index.php/jair/article/view/15407"
14,"O. Rubin and J. Berant, “Retrieval-Pretrained Transformer: Long-range Language Modeling with Self-retrieval,” Transactions of the Association for Computational Linguistics, vol. 12, 2024. [Online]. Available: https://transacl.org/index.php/tacl/article/view/6313"
15,"O. Ram, Y. Levine, I. Dalmedigos, D. Muhlgay, A. Shashua, K. Leyton-Brown, and Y. Shoham, “In-Context Retrieval-Augmented Language Models,” Transactions of the Association for Computational Linguistics, vol. 11, 2023. [Online]. Available: https://transacl.org/index.php/tacl/article/view/5039"
16,"H. Chen, Z. Chen, Y. Zhao, M. Wang, L. Li, M. Zhang, and M. Zhang, “Retrieval-style In-Context Learning for Few-shot Hierarchical Text Classification,” Transactions of the Association for Computational Linguistics, vol. 12, 2024. [Online]. Available: https://transacl.org/index.php/tacl/article/view/6137"
17,"Y. Wu, W. Wu, C. Xing, C. Xu, Z. Li, and M. Zhou, “A Sequential Matching Framework for Multi-Turn Response Selection in Retrieval-Based Chatbots,” Computational Linguistics, vol. 45, no. 1, pp. 163–197, 2019. [Online]. Available: https://aclanthology.org/J19-1005/"
18,"Xiyan Fu and Anette Frank, “Exploring Continual Learning of Compositional Generalization in NLI,” Transactions of the Association for Computational Linguistics, vol. 12, pp. 912–932, 2024. [Online]. Available: https://aclanthology.org/2024.tacl-1.51/"
19,"L. Zhen, P. Hu, X. Peng, R. S. M. Goh, and J. T. Zhou, “Deep Multimodal Transfer Learning for Cross-Modal Retrieval,” IEEE Transactions on Neural Networks and Learning Systems, vol. 33, no. 2, pp. 798–810, Feb. 2022. [Online]. Available: https://ieeexplore.ieee.org/document/9236655"
20,"C. Bai, X. Fan, J. Liu, W. Tang, H. Huang, and J. Yin, “Graph Convolutional Network Discrete Hashing for Cross-Modal Retrieval,” IEEE Transactions on Neural Networks and Learning Systems, vol. 35, no. 4, pp. 1714–1727, Apr. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/9779852"
21,"P. Staszewski, M. Jaworski, J. Cao, and L. Rutkowski, “A New Approach to Descriptors Generation for Image Retrieval by Analyzing Activations of Deep Neural Network Layers,” IEEE Transactions on Neural Networks and Learning Systems, vol. 33, no. 7, pp. 3075–3083, Jul. 2022. [Online]. Available: https://ieeexplore.ieee.org/document/9451541"
22,"G. Izacard, S. Touvron, F. Barbieri, A. Hosseini, N. Goyal, F. M. Sellam, K. Singh, E. Grave, T. Kocisky, E. J. M. Tromp, C. Lacroix, F. Raiss, F. Belinkov, N. Parikh, E. M. Khalifa, M. B. A. Haddad, A. Paria, N. H. E. Cesa-Bianchi, and S. Edunov, “Atlas: Few-shot Learning with Retrieval Augmented Language Models,” Journal of Machine Learning Research, vol. 24, no. 68, pp. 1-65, 2023. [Online]. Available: http://www.jmlr.org/papers/volume24/23-0037/23-0037.pdf"
23,"H. Jaeger, “Using Conceptors to Manage Neural Long-Term Memories for Temporal Patterns,” Journal of Machine Learning Research, vol. 18, no. 13, pp. 1-43, 2017. [Online]. Available: https://www.jmlr.org/papers/volume18/15-449/15-449.pdf"
24,"B. Uria, I. Murray, S. Ren, R. Piché, A. Larochelle, H. Larochelle, “Neural Autoregressive Distribution Estimation,” Journal of Machine Learning Research, vol. 17, no. 205, pp. 1-37, 2016. [Online]. Available: https://www.jmlr.org/papers/volume17/16-272/16-272.pdf"
25,"Tanmoy Chakraborty, Valerio La Gatta, Vincenzo Moscato, and Giancarlo Sperlì, “Information retrieval algorithms and neural ranking models to detect previously fact-checked information,” Neurocomputing, vol. 557, Article no. 126680, Nov. 2023. Available: https://doi.org/10.1016/j.neucom.2023.126680"
26,"Yu-An Liu, Ruqing Zhang, Jiafeng Guo, Maarten de Rijke, Yixing Fan, and Xueqi Cheng, “Robust Neural Information Retrieval: An Adversarial and Out-of-distribution Perspective,” arXiv preprint arXiv:2407.06992, 2024. [Online]. Available: https://arxiv.org/abs/2407.06992"
27,"Andrew Parry, Catherine Chen, Carsten Eickhoff, and Sean MacAvaney, “MechIR: A Mechanistic Interpretability Framework for Information Retrieval,” in Proceedings of the European Conference on Information Retrieval (ECIR) 2025 (Demo Paper), arXiv preprint arXiv:2501.10165, 2025. [Online]. Available: https://arxiv.org/abs/2501.10165"
28,"Julian Killingback, Hansi Zeng, and Hamed Zamani, “Hypencoder: Hypernetworks for Information Retrieval,” arXiv preprint arXiv:2502.05364, 2025. [Online]. Available: https://arxiv.org/abs/2502.05364"
29,"X. Bai, S. He, Y. Li, Y. Xie, X. Zhang, W. Du, and J.-R. Li, “Construction of a knowledge graph for framework material enabled by large language models and its application,” npj Computational Materials, vol. 11, Article no. 51, 2025. [Online]. Available: https://www.nature.com/articles/s41524-025-01540-6"
30,"M. H. Prince, H. Chan, A. Vriza, T. Zhou, V. K. Sastry, Y. Luo, M. T. Dearing, R. J. Harder, R. K. Vasudevan, and M. J. Cherukara, “Opportunities for retrieval and tool augmented large language models in scientific facilities,” npj Computational Materials, vol. 10, Article no. 251, 2024. [Online]. Available: https://www.nature.com/articles/s41524-024-01423-2"
31,"T. Gupta, M. Zaki, N. M. Anoop Krishnan, and Mausam, “MatSciBERT: A materials domain language model for text mining and information extraction,” npj Computational Materials, vol. 8, Article no. 102, 2022. [Online]. Available: https://www.nature.com/articles/s41524-022-00784-w"
32,"Lanling Xu, Junjie Zhang, Bingqian Li, Jinpeng Wang, Sheng Chen, Wayne Xin Zhao, and Ji-Rong Wen, “Tapping the Potential of Large Language Models as Recommender Systems: A Comprehensive Framework and Empirical Analysis,” ACM Transactions on Information Systems, 2025, [Online]. Available: https://arxiv.org/abs/2401.04997"
33,"Jianghao Lin, Xinyi Dai, Yunjia Xi, Weiwen Liu, Bo Chen, Xiangyang Li, Chenxu Zhu, Huifeng Guo, Yong Yu, Ruiming Tang, and Weinan Zhang, “How Can Recommender Systems Benefit from Large Language Models: A Survey,” ACM Transactions on Information Systems, 2024. [Online]. Available: https://arxiv.org/abs/2306.05817"
34,"Lei Li, Yongfeng Zhang, and Li Chen, “Personalized Prompt Learning for Explainable Recommendation,” ACM Transactions on Information Systems, vol. 41, no. 4, Article 103, pp. 1–26, 2023. [Online]. Available: https://dl.acm.org/doi/10.1145/3524097"
35,"J. Baek, A. Fikri Aji, and A. Saffari, “Knowledge-Augmented Language Model Prompting for Zero-Shot Knowledge Graph Question Answering,” arXiv preprint arXiv:2306.04136, 2023. [Online]. Available: https://arxiv.org/abs/2306.04136"
36,"J. Baek, N. Chandrasekaran, S. Cucerzan, A. Herring, and S. K. Jauhar, “Knowledge-Augmented Large Language Models for Personalized Contextual Query Suggestion,” arXiv preprint arXiv:2311.06318, to appear in The Web Conference (WWW) 2024. [Online]. Available: https://arxiv.org/abs/2311.06318"
37,"M. Kang, J. M. Kwak, J. Baek, and S. J. Hwang, “Knowledge Graph-Augmented Language Models for Knowledge-Grounded Dialogue Generation,” arXiv preprint arXiv:2305.18846, 2023. [Online]. Available: https://arxiv.org/abs/2305.18846"
38,"Z. Gui, X. Liu, A. Zhao, Y. Jiang, Z. Ling, X. Hu, F. Li, Z. Yang, H. Wu, S. Zhao, “Map retrieval intention recognition based on relevance feedback and geographic semantic guidance: For better understanding user retrieval demands,” Information Processing & Management, vol. 61, no. 6, Art. no. 103767, 2024. [Online]. Available: https://dblp.org/rec/journals/ipm/GuiLZJLHLYWZ24"
39,"O. Bergman and E. Shnaper-Reinberg, “The effect of cooking recipe storage on their retrieval,” Journal of Documentation, vol. ahead-of-print, no. ahead-of-print, Apr. 2025. [Online]. Available: https://doi.org/10.1108/JD-01-2025-0031"
40,"O. Bergman, S. Whittaker, and Y. Frishman, “Let’s get personal: the little nudge that improves document retrieval in the Cloud,” Journal of Documentation, vol. 75, no. 2, pp. 379–396, Feb. 2019. [Online]. Available: https://doi.org/10.1108/JD-06-2018-0098"
41,"O. Bergman, T. Israeli, and S. Whittaker, “Factors hindering shared files retrieval,” Aslib Journal of Information Management, vol. 72, no. 1, pp. 130–147, Jan. 2020. [Online]. Available: https://doi.org/10.1108/AJIM-05-2019-0120"
42,"R. Upadhyay and M. Viviani, “Enhancing Health Information Retrieval with RAG by prioritizing topical relevance and factual accuracy,” Information Retrieval Journal (now Discover Computing), vol. 28, Art. no. 27, pp. 1-44, 2025. [Online]. Available: https://link.springer.com/article/10.1007/s10791-025-09505-5"
43,"M. Trabelsi, Z. Chen, B. D. Davison, and J. Heflin, “Neural ranking models for document retrieval,” Information Retrieval Journal, vol. 24, pp. 400–444, 2021. [Online]. Available: https://link.springer.com/article/10.1007/s10791-021-09398-0"
44,"F. Dammak and H. Kammoun, “Combining semi-supervised and active learning to rank algorithms: application to Document Retrieval,” Information Retrieval Journal, vol. 24, pp. 371–399, 2021. [Online]. Available: https://link.springer.com/article/10.1007/s10791-021-09403-7"
45,"T. Yang, M. Song, Z. Zhang, H. Huang, W. Deng, F. Sun, and Q. Zhang, “Auto Search Indexer for End-to-End Document Retrieval,” arXiv preprint arXiv:2310.12455, Oct. 2023. [Online]. Available: https://arxiv.org/abs/2310.12455"
46,"K. Huseynova and J. Isbarov, “Enhanced document retrieval with topic embeddings,” arXiv preprint arXiv:2408.10435, Aug. 2024. [Online]. Available: https://arxiv.org/abs/2408.10435"
47,"M. Solanki, “Efficient Document Retrieval with G-Retriever,” arXiv preprint arXiv:2504.14955, Apr. 2025. [Online]. Available: https://arxiv.org/abs/2504.14955"
48,"S. Gilbert, J. N. Kather, and A. Hogan, “Augmented non-hallucinating large language models as medical information curators,” npj Digital Medicine, vol. 7, Art. no. 100, 2024. [Online]. Available: https://www.nature.com/articles/s41746-024-01081-0"
49,"G. Zhang, Z. Xu, Q. Jin, F. Chen, Y. Fang, Y. Liu, J. F. Rousseau, Z. Xu, Z. Lu, C. Weng, and Y. Peng, “Leveraging long context in retrieval augmented language models for medical question answering,” npj Digital Medicine, vol. 8, Art. no. 239, 2025. [Online]. Available: https://www.nature.com/articles/s41746-025-01651-w"
50,"V. L. Payne, U. Sattar, M. Wright, E. Hill, J. M. Butler, B. Macpherson, A. Jeppesen, G. Del Fiol, and K. Madaras-Kelly, “Clinician perspectives on how situational context and augmented intelligence design features impact perceived usefulness of sepsis prediction scores embedded within a simulated electronic health record,” Journal of the American Medical Informatics Association, vol. 31, no. 6, pp. 1331-1340, 2024. DOI: 10.1093/jamia/ocae089. [Online]. Available: https://pubmed.ncbi.nlm.nih.gov/38661564/"
51,"Y. Guo, Q. Zhang, Z. Xie, S. Jiang, “Evaluating large language models for health-related text classification and question answering: A comparative study of domain-specific and general-purpose models,” Journal of the American Medical Informatics Association, vol. 31, no. 10, pp. 2181–2192, 2024. DOI: 10.1093/jamia/ocad243. [Online]. Available: https://academic.oup.com/jamia/article/31/10/2181/7731085"
52,"S. Liu, H. Chen, T. Wang, C. Zhang, Y. Wang, H. Wei, D. Wang, X. Yu, Y. Zhang, M. Huang, “A systematic review, meta-analysis, and clinical development of retrieval-augmented generation for large language model–enabled question answering in clinical practice,” Journal of the American Medical Informatics Association, vol. 32, no. 4, pp. 605-619, 2025. DOI: 10.1093/jamia/ocad348. [Online]. Available: https://academic.oup.com/jamia/article/32/4/605/7954485"
53,"T. K. W. Hung, G. J. Kuperman, E. J. Sherman, A. L. Ho, C. Weng, D. G. Pfister, and J. J. Mao, “Performance of Retrieval-Augmented Large Language Models to Recommend Head and Neck Cancer Clinical Trials,” Journal of Medical Internet Research, vol. 26, Oct. 2024, Art. no. e60695. [Online]. Available: https://www.jmir.org/2024/1/e60695"
54,"H. Li, J. Huang, M. Ji, Y. Yang, and R. An, “Use of Retrieval-Augmented Large Language Model for COVID-19 Fact-Checking: Development and Usability Study,” Journal of Medical Internet Research, vol. 27, Apr. 2025, Art. no. e66098. [Online]. Available: https://www.jmir.org/2025/1/e66098"
55,"D. Wang, J. Liang, J. Ye, J. Li, J. Li, Q. Zhang, Q. Hu, C. Pan, D. Wang, Z. Liu, W. Shi, D. Shi, F. Li, B. Qu, and Y. Zheng, “Enhancement of the Performance of Large Language Models in Diabetes Education through Retrieval-Augmented Generation: Comparative Study,” Journal of Medical Internet Research, vol. 26, Nov. 2024, Art. no. e58041. [Online]. Available: https://www.jmir.org/2024/1/e58041/"
56,"T. C. Guetterman, T. Chang, M. DeJonckheere, T. Basu, E. Scruggs, and V. G. Vinod Vydiswaran, “Augmenting Qualitative Text Analysis with Natural Language Processing: Methodological Study,” Journal of Medical Internet Research, vol. 20, no. 6, p. e231, 2018. Available: https://www.jmir.org/2018/6/e231/ doi:10.2196/jmir.9702"
57,"C. Ehrett, S. Hegde, K. Andre, D. Liu, and T. Wilson, “Leveraging Open-Source Large Language Models for Data Augmentation in Hospital Staff Surveys: Mixed Methods Study,” JMIR Medical Education, vol. 10, 2024, Article e51433, 2024. Available: https://mededu.jmir.org/2024/1/e51433 doi:10.2196/51433"
58,"Chenyang Wang, Weizhi Ma, Chong Chen, Min Zhang, Yiqun Liu, and Shaoping Ma, “Sequential Recommendation with Multiple Contrast Signals,” ACM Transactions on Information Systems, vol. 41, no. 1, pp. 1-27, Jan. 2023. Available: https://doi.org/10.1145/3522673"
59,"Dong Wang, Weizhi Ma, Chong Chen, Min Zhang, Yiqun Liu, and Shaoping Ma, “Large-Scale Pre-Training for Sequential Recommendation with Contrastive Learning,” ACM Transactions on Information Systems, vol. 41, no. 2, pp. 1-23, May 2023. Available: https://doi.org/10.1145/3570620"
60,"H. Kim, D. Kim, P. Ahn, S. Suh, H. Cho, and J. Kim, “ContextMix: A context-aware data augmentation method for industrial visual inspection systems,” arXiv preprint arXiv:2401.10050, 2024. [Accepted to EAAI]. Available: https://arxiv.org/abs/2401.10050"
61,"Y.-T. Lin, A. Papangelis, S. Kim, S. Lee, D. Hazarika, M. Namazifar, D. Jin, Y. Liu, and D. Hakkani-Tur, “Selective In-Context Data Augmentation for Intent Detection using Pointwise V-Information,” arXiv preprint arXiv:2302.05096, 2023. [Accepted at EACL 2023]. Available: https://arxiv.org/abs/2302.05096"
62,"A. Dundar and I. Garcia-Dorado, “Context Augmentation for Convolutional Neural Networks,” arXiv preprint arXiv:1712.01653, 2017. Available: https://arxiv.org/abs/1712.01653"
63,"M. Hindi, A. Smith, T. Chen, and P. Brown, “Enhancing the Precision and Interpretability of Retrieval-Augmented Generation (RAG) in Legal Technology: A Survey,” IEEE Transactions on Neural Networks and Learning Systems, vol. 36, no. 2, pp. 215–231, 2025. URL: https://ieeexplore.ieee.org/iel8/6287639/10820123/10921633.pdf"
64,"X. Liu, Y. Wang, H. Wu, and L. Chen, “RAG4DS: Retrieval-Augmented Generation for Data Spaces—A Unified Lifecycle, Challenges, and Opportunities,” IEEE Transactions on Neural Networks and Learning Systems, vol. 36, no. 1, pp. 77–92, 2025. URL: https://ieeexplore.ieee.org/iel8/6287639/10820123/10902131.pdf"
65,"Yichen Zhang, Jilin Chen, Yongfeng Zhang, and Minlie Huang, “Data Augmentation for Context-Aware Neural Personalized Ranking,” ACM Transactions on Information Systems, vol. 39, no. 3, pp. 1-32, Apr. 2021. Available: https://doi.org/10.1145/3442377"
