Index,Citation,Summary
11,"T. P. Raptis, A. Passarella, M. Conti, A. Zanni, and R. Bruno, ""Distributed Data Access in Industrial Edge Networks,"" IEEE Journal on Selected Areas in Communications, vol. 38, no. 5, pp. 915–927, May 2020. [Online]. Available: https://ieeexplore.ieee.org/document/9039732","This paper addresses the challenges of distributed data access in multi-hop wireless industrial edge networks, particularly relevant for Industry 4.0 environments where vast amounts of sensor data strain traditional centralized data management. The authors formulate the distributed data access (DDA) and caching problem, prove its NP-completeness, and propose a two-step algorithm involving computation of feasible path sets (via their ComputePathSets algorithm) and a DataCacheAccess step to maximize network lifetime while meeting data delay constraints. They design both a centralized (DCA+) and a fully distributed Proportionally Fair Rotation (PFR) scheme, conducting experiments on a real IoT-LAB testbed and extensive simulations. Results show that their DCA approach closely matches the relaxed optimum, while the distributed PFR method vastly prolongs network lifetimeby orders of magnitudeby relying solely on energy-efficient local wireless links, especially compared to centralized schemes (which incur high communication costs from global status exchanges). The methodologies respect delay constraints for all consumers and ensure balanced energy consumption, firmly supporting the use of decentralized edge-centric solutions in smart industrial settings. The studys findings stress the trade-off between centralized optimality and the scalability, efficiency, and practicality of distributed approaches and point towards future work in dynamic, real-world deployments and cross-layer optimizations."
12,"Q. Hu, G. Zhang, Z. Qin, Y. Cai, G. Yu, and G. Y. Li, ""Robust Semantic Communications with Masked VQ-VAE Enabled Codebook,"" IEEE Transactions on Wireless Communications, vol. 22, no. 12, pp. 8707–8722, Dec. 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10101778/","This paper addresses the robustness of semantic communication (SC) systems against semantic noise, which arises from adversarial perturbations or task-unrelated disturbances impairing the mapping between transmitted and received semantic symbols and causing downstream task failure. The authors introduce a comprehensive framework combining adversarial training with weight perturbations, masking strategies targeting frequently noisy input regions, and a masked vector quantized-variational autoencoder (VQ-VAE) that utilizes a discrete codebook shared between transmitter and receiver. Additionally, a feature importance module (FIM) is developed to select and transmit only crucial, task-relevant codebook indices, thus reducing transmission overhead and increasing robustness. Extensive experiments on datasets such as CIFAR-10 and ImageNet show that the masked VQ-VAE with FIM delivers significant gains in task accuracy for classification and retrieval under both white-box and black-box adversarial attacks compared to traditional end-to-end SC methods. The approach demonstrates notable resilience in suppressing noise-sensitive features and maintains higher intra-class semantic similarity, as evidenced by accuracy curves and semantic similarity evaluations (see Tables VII, VIII, IX, XIII). The proposed method offers efficient, robust semantic communication by combining codebook-based feature representation with intelligent masking and feature selection, laying the groundwork for future research in adaptive SC under evolving attack models and resource constraints."
13,"J. Shin, Y. Kang, and Y.-S. Jeon, ""Vector Quantization for Deep-Learning-Based CSI Feedback in Massive MIMO Systems,"" IEEE Wireless Communications Letters, vol. 13, no. 9, pp. 2382–2386, Sept. 2024. [Online]. Available: https://ieeexplore.ieee.org/document/10403736/","This paper introduces a deep-learning-based channel state information (CSI) feedback method for massive MIMO systems that utilizes a vector-quantized variational autoencoder (VQ-VAE) with shape-gain vector quantization to provide efficient, finite-bit representations of latent vectors. The proposed method separately quantizes the magnitude using a non-uniform scalar codebook based on a clipped $\mu$-law transformation and the direction using a trainable Grassmannian codebook under unit-norm constraints, substantially reducing computational complexity from $O(2^B)$ to $O(2^{\max\{B_\text{mag}, B_\text{dir}\}})$ where $B_\text{mag}$ and $B_\text{dir}$ are the bit allocations for gain and shape, respectively. A multi-rate codebook strategy is presented, using a nested codebook and an adjusted loss function to support different bit-rate feedbacks while sharing codebooks. Simulation resultsusing the COST2100 channel dataset with $N_t=32$, $N_c=1024$, and feedback overheads such as 512 bitsdemonstrate that this approach outperforms previously proposed scalar and vector quantization DL-based feedback methods in terms of normalized mean squared error (NMSE), with further improvements from the multi-rate design (e.g., at 512 bits indoor, NMSE: VQ-VAE $=-14.17\,\text{dB}$, Proposed multi-rate $=-14.93\,\text{dB}$). The methods design makes codebook storage and search more efficient and allows for practical adaptation to varying channel distributions."
14,"J. Cai, C. Wen, C. K. Wen, and S. Jin, ""Hybrid Precoding Architecture for Massive Multiuser MIMO With Dissipation: Sub-Connected or Fully Connected Structures?"" IEEE Transactions on Wireless Communications, vol. 17, no. 3, pp. 1606–1621, Mar. 2018. [Online]. Available: https://ieeexplore.ieee.org/document/8383712/","This paper investigates hybrid precoding structuresspecifically sub-connected and fully-connectedover limited feedback channels in massive multiuser MIMO systems by rigorously modeling the dissipative losses in practical analog networks using actual component characteristics and circuit theory. The system model considers a downlink scenario where a base station with $N_t$ antennas and $N_{\mathrm{RF}}$ RF chains serves $K$ single-antenna users, and hybrid precoding splits beamforming between a digital precoder $\mathbf{F}_{\mathrm{BB}}$ and an analog precoder $\mathbf{F}_{\mathrm{RF}}$. Both continuous and finite-bit phase shifter quantization, as well as limited CSIT feedback, are addressed. Analytical and simulation results reveal that while fully-connected structures theoretically provide higher flexibility, in practice their higher dissipation often results in lower spectral efficiency compared to sub-connected structures when lossy hardware components are considered. Closed-form expressions for achievable sum-rate are derived; in both Rayleigh and mmWave models, extensive simulations show that the sub-connected architecture outperforms the fully-connected structure when practical losses are present, especially with increasing antenna count and reduced quantization bits. The study also finds that mixed-ADC architectures are beneficial under hardware constraints. The paper concludes with guidelines for analog component selection and notes that practical sub-connected hybrid designs are preferable for future massive MIMO deployments."
15,"S. Ahn, S. Kim, J. Lee, and T. Kim, ""Data Embedding Scheme for Efficient Program Behavior Modeling With Neural Networks,"" IEEE Transactions on Emerging Topics in Computational Intelligence, vol. 6, no. 6, pp. 982-993, Dec. 2022. [Online]. Available: https://ieeexplore.ieee.org/document/9772749/","As modern programs grow in size and complexity, the importance of program behavior modeling is emerging in various areas."
16,"N. Alabbasi, O. Erak, O. Alhussein, I. Lotfi, L. Da Xu, and M. Debbah, ""TeleOracle: Fine-Tuned Retrieval-Augmented Generation With Long-Context Support for Networks,"" IEEE Internet of Things Journal, Early Access, 2025. [Online]. Available: https://ieeexplore.ieee.org/document/10935354/","LongRAG addresses limitations in traditional retrieval-augmented generation (RAG) frameworks, where short retrieval units (e.g., 100-word passages) overload the retriever and risk contextual loss. By grouping documents into long retrieval units (typically 4K tokens or more), LongRAG drastically reduces the number of required retrieval units (from 22M to 600K for NQ) and leverages long-context LLMs as readers, enabling efficient, high-integrity retrieval. On benchmarks, LongRAG achieves EM scores of 62.7% on NQ and 64.3% on HotpotQA, matching or exceeding fully-supervised models, and delivers F1 scores of 25.9% on Qasper and 57.5% on MultiFieldQA-en, outperforming passage-based retrieval baselines. Optimal performance is observed at around 30K context tokens, with fewer retrieved units reducing distractors and hard negatives. The main challenge remains efficiently encoding long documents for retrieval, often approximated by max pooling over chunk embeddings, and fully realizing the reasoning capabilities of long-context LLMs. LongRAG does not require retriever or reader fine-tuning, and paves the way for future scalable, high-integrity RAG systems as embedding models and long-context LLMs continue to improve."
17,"E. Cadet, O. S. Osundare, H. O. Ekpobimi, Z. Samira, Y. W. Weldegeorgise, ""Cloud migration and microservices optimization framework for large-scale enterprises,"" Open Access Research Journal of Engineering and Technology, vol. 7, no. 2, pp. 046–059, 2024. [Online]. Available: https://oarjpublication.com/journals/oarjet/sites/default/files/OARJET-2024-0059.pdf","The paper addresses the digital transformation of large-scale enterprises through a comprehensive framework for cloud migration and microservices optimization. Recognizing the complexity and risks of transitioning monolithic legacy systems to agile, scalable cloud-native architectures, the authors present a phased approach encompassing assessment, strategy formulation, design, migration, and post-migration optimizationeach phase supported by governance and automation. Drawing on industry best practices (e.g., AWS, Microsoft, CNCF), literature review, and large-enterprise case studies, the framework introduces systematic asset cataloging, business case development, architectural redesign using microservices (often leveraging domain-driven design), container orchestration, and continuous integration/delivery automation. Empirical results show improvements such as up to 35% reduction in migration lead time, 27% fewer incidents, and 22% cost savings post-migration. Yet, challenges persist in decomposing legacy systems, achieving optimal service granularity, ensuring secure compliance across distributed systems, and overcoming cultural barriers to DevOps adoption. The discussion highlights solutions like phased pilots, rigorous governance, alignment of IT and business, and investment in observability. Future directions include AI/ML-driven orchestration, more robust multi-cloud strategies, advanced telemetry, and exploration of serverless paradigms. The authors conclude that their reference framework equips IT leaders and architects for efficient, resilient digital transformation, with ongoing evolution needed to address persistent operational and technological hurdles."
18,"S. Prasad, V. Kumar, ""Enhancing customer experience through AI-driven language processing in telecommunications,"" Open Access Research Journal of Engineering and Technology, vol. 7, no. 1, pp. 102–114, 2024. [Online]. Available: https://oarjpublication.com/journals/oarjet/sites/default/files/OARJET-2024-0027.pdf","This paper reviews how AI-driven language processing, including chatbots, virtual assistants, sentiment analysis, and large language models (LLMs), is transforming customer experience (CX) within the telecommunications sector. Driven by the demand for personalized and efficient customer interactions, telecom providers are adopting NLP tools to automate support, interpret unstructured data, and resolve routine inquiries. Literature reviews and case studies show measurable improvements: AI chatbot deployment raised first-contact resolution rates, reduced average handling time, and increased customer satisfaction, while sentiment analysis tools helped in real-time escalation of dissatisfied customers and reduced churn. Advanced LLMs, such as GPT-based agents, enabled automation of more complex queries, further increasing automation containment rates without sacrificing the quality of customer experience. Key challenges include adapting NLP to telecom-specific language, providing multilingual support, ensuring seamless legacy system integration, and meeting security and data privacy requirements (e.g., GDPR compliance). The discussion emphasizes that customer acceptance is highest when AI systems allow effortless escalation to humans and provide transparency in their decision-making. The paper concludes that, despite integration and trust hurdles, AI-driven language processing delivers operational gains and added customer value, recommending focused investments in domain-specific NLP training, privacy standards, and hybrid human-AI workflows to maximize impact in telecommunications."
19,"B. Basu, A. Sharma, P. Patil, ""Pioneering digital innovation strategies to enhance financial performance in satellite telecommunications using data analytics,"" Open Access Research Journal of Engineering and Technology, vol. 7, no. 1, pp. 126–141, 2024. [Online]. Available: https://oarjpublication.com/journals/oarjet/sites/default/files/OARJET-2024-0029.pdf","This paper investigates digital innovation strategies in the satellite telecommunications industry, focusing on how big data, machine learning, and advanced analytics improve financial performance and operational efficiency. Employing a mixed-methods approach that includes literature synthesis, benchmarking KPIs, and a real-world case study, the authors demonstrate that advanced analytics can decrease churn rates by 1520%, yield annual cost savings of around 12% through predictive maintenance, and increase average revenue per user (ARPU) by about 9% via digital revenue streams such as dynamic bandwidth allocation. However, challenges like integrating legacy systems, high initial investments, workforce upskilling, data security, and change resistance persist. The discussion highlights that strong ROI can be achieved if companies prioritize change management, leadership buy-in, and an agile innovation culture. The paper concludes that a comprehensive digital roadmap and investment in analytics are crucial for sustained profitability, with future work suggested in AI-driven optimization, predictive customer analytics, blockchain for contracts, and open data standards to advance industry transformation."
20,"G. M. Yilma, J. A. Ayala-Romero, A. Garcia-Saavedra, and X. Costa-Perez, ""TelecomRAG: Taming Telecom Standards with Retrieval Augmented Generation and LLMs,"" arXiv preprint arXiv:2406.07053, Jun. 2024. [Online]. Available: https://arxiv.org/pdf/2406.07053","The paper introduces TelecomRAG, a modular, open-source Retrieval Augmented Generation (RAG) framework tailored for the domain of mobile telecommunications standards, specifically targeting Release 18 of 3GPP. Designed to aid R&D professionals and regulators navigating vast and evolving technical standards, TelecomRAG employs a domain-adapted, multi-vector retrieval system using ColBERT, integrated with state-of-the-art large language models (LLMs) for robust question answering. The framework is evaluated against a curated benchmark of 383 industry-authored technical queries, showing that multi-vector retrieval achieves a Top-5 recall of 70%substantially outperforming single-vector methods (48%)and that careful domain chunking nearly reaches 90% recall on certain question types. Integration with leading LLMs such as GPT-4-Turbo, Gemini 1.5, and Claude-Opus demonstrates improved technical summary quality, although challenges persist with zero-grounding and cross-document queries, ambiguity, and figure/table retrieval. The discussion emphasizes the necessity of fine-grained evaluation and user feedback, while acknowledging difficulties posed by evolving standards and cross-document reasoning. TelecomRAGs codebase, curated standards, and benchmark queries are publicly released, facilitating trustworthy and efficient AI-powered navigation of telecom standards, with future work addressing continual updates, user-adaptive retrieval, and enhanced interpretability and multimodality. Resources are available at https://github.com/telecom-gpt/TelecomRAG."
21,"F. Jiang, W. Zhu, L. Dong, K. Wang, K. Yang, C. Pan, and O. A. Dobre, ""CommGPT: A Graph and Retrieval-Augmented Multimodal Communication Foundation Model,"" arXiv preprint arXiv:2502.18763, Feb. 2025. [Online]. Available: https://arxiv.org/abs/2502.18763","Large Language Models (LLMs) are poised to play a critical role in 6G communications, but conventional LLMs face challenges due to inadequate domain data, restricted input modalities, and difficulties with knowledge retrieval. To address these, the authors introduce CommGPT, a domain-specialized, multimodal LLM for communications. The system leverages CommDataa curated dataset of protocols, standards, patents, papers, code, and Wikipediafor pretraining and instruction-based fine-tuning. CommGPT incorporates a multimodal encoder utilizing BLIP (for semantic image features) and QOCR (for low-level text in infographics/tables), and introduces a Graph and Retrieval-Augmented Generation (GRG) framework which jointly uses Knowledge Graphs (KGs) for global, structured retrieval and Retrieval-Augmented Generation (RAG) for localized document retrieval. Experiments with the Gemma 2-9b-instruct base model show substantial gains: baseline accuracy rose from 37% to 54% with domain-specific data, and to 91% when combining RAG+KG (the GRG framework). Comparative results indicate that while both open- and closed-source generic LLMs lag behind, CommGPTs architecture, especially its GRG module, allows it to outperform all tested competitors on domain Q&A. Thus, CommGPT demonstrates that open-source models, when tailored with specialized data and multi-scale retrieval mechanisms, can achieve and even surpass performance of proprietary counterparts in complex, multimodal communication domains."
22,"A. Karapantelakis, M. Thakur, A. Nikou, F. Moradi, C. Olrog, F. Gaim, H. Holm, D. D. Nimara, and V. Huang, ""Using Large Language Models to Understand Telecom Standards: Challenges and Lessons Learned,"" arXiv preprint arXiv:2404.02929, Apr. 2024. [Online]. Available: https://arxiv.org/abs/2404.02929","This paper investigates the use of Large Language Models (LLMs) as question answering (QA) assistants for navigating the complex and vast 3GPP telecom standards. The authors present three main contributions: (1) a benchmark and methodology for evaluating LLM QA performance, (2) data preprocessing and fine-tuning strategies to enhance LLM accuracy, and (3) the introduction of TeleRoBERTa, a lightweight model with performance comparable to larger foundation LLMs yet requiring significantly fewer parameters. They explore both fine-tuning and Retrieval Augmented Generation (RAG) methods for adaptation to the telecom domain, as well as quantization approaches for deployment on resource-constrained devices. Experimental results, measured via metrics such as BERTScore and a GPT-4-based reference evaluation, demonstrate that TeleRoBERTa and similar LLMs can serve as credible reference tools for telecom documents, supporting applications in troubleshooting, operations, and product development. Challenges identified include the misinterpretation of technical jargon, difficulty with tabular information and cross-references, and the need for improved domain adaptation. The study concludes that LLMs, especially with advanced preprocessing and fine-tuning like Supervised Fine Tuning (SFT), hold promise as digital assistants for the 3GPP specifications, and future work aims to expand their utility to broader operations and software development contexts in telecommunications."
23,"G. Lan, et al., “Communication-Efficient Federated Learning for Resource-Constrained Edge Devices,” IEEE Transactions on Machine Learning in Communications and Networking, 2023. [Online]. Available: https://ieeexplore.ieee.org/document/10233897/","This paper addresses the communication bottleneck in federated learning (FL) for resource-constrained edge devices connected via imperfect wireless links, proposing a hierarchical wireless FL system that uses over-the-air computation (AirComp) for efficient model update aggregation at the cell edge. To further reduce communication overhead, the authors introduce low-rank tensor decompositions (such as CANDECOMP/PARAFAC or Tucker) to compress DNN parameter updates, and they develop a joint optimization framework for allocating communication, computation, and model compression resources to maximize convergence rate under runtime constraints. The system further employs a lattice-coding strategy to improve AirComp robustness to channel noise and interference. Experimental results on standard datasets (MNIST, CIFAR10) and popular DNN architectures demonstrate that this framework can achieve model-update compression ratios up to 100 with negligible accuracy loss, and overall FL speedups of 35 compared to vanilla wireless FL, all while being robust to wireless noise. The study discusses practical trade-offs, implementation challenges for transmission of large-scale model updates, and dynamic resource allocation strategies, highlighting the crucial role of compression and robust aggregation for scalable wireless FL. Future directions include privacy-preserving compression, adaptive and secure aggregation techniques, and real-world system deployments supporting non-IID and time-varying data."
